index,w1,w2,count1,count2,total1,total2,isDuplicate
,74,"3,183",91.0,15.0,595971.0,595971.0,0.0
,myanmar,dominican republic,414.0,414.0,81106.0,81106.0,0.0
,2,10,346.0,57.0,100048.0,100048.0,0.0
,00676-1810,00754-9652,1.0,1.0,1351.0,1351.0,0.0
,bmu;vgb;hkg,bmu;phl,1.0,6.0,24957.0,24957.0,0.0
,sales supervisors in wholesale trade,"doorkeepers, watchpersons and related workers",9.0,58.0,41544.0,41544.0,0.0
,ibrd/ida,rainforest,130006.0,2.0,151623.0,151623.0,0.0
,swedish,liechtensteiner,10.0,1.0,842.0,842.0,0.0
,intermission-second,intermission-third,886.0,4.0,806179.0,806179.0,0.0
,teleproduction and other postproduction services,small arms manufacturing,3.0,1.0,374362.0,374362.0,0.0
951.0,chihuahua long haired,chihuahua - long haired,7.0,12.0,82545.0,82545.0,1.0
,"adjusted by age, sex, race and ethnicity",prevalence,520.0,52.0,403984.0,403984.0,0.0
,20e,06c,195.0,25955.0,399918.0,399918.0,0.0
,other_financial_corporations_other_banking_nonbank_financial_institutions_reserves,labor,2098.0,9311.0,884244.0,884244.0,0.0
,smoothed 5-year,smoothed,4.0,3.0,2720.0,2720.0,0.0
,purchase of service,total normal cost,1.0,1.0,280.0,280.0,0.0
,mi,spring mountain district,1.0,8.0,150930.0,150930.0,0.0
,30,908,9.0,1.0,10001.0,10001.0,0.0
,z14a,y03,1.0,33.0,2117.0,2117.0,0.0
,640,gl1,1.0,1.0,70964.0,70964.0,0.0
,angola,mauritius,9.0,9.0,374362.0,374362.0,0.0
,eritrea,united kingdom of great britain and northern ireland,208.0,368.0,73646.0,73646.0,0.0
433.0,ar,ar,533.0,759.0,374362.0,374362.0,1.0
,hotels and restaurants,"education; health and social work; other community, social and personal services",5689.0,10150.0,225363.0,225363.0,0.0
,active,closed,56.0,10.0,72.0,72.0,0.0
,impoth,frag,10.0,75.0,1518.0,1518.0,0.0
,vandalism,prostitution,5113.0,309.0,59853.0,59853.0,0.0
,crop_and_animal_production_hunting_and_related_service_activities_01,mining_and_quarrying_b,6119.0,11610.0,320551.0,320551.0,0.0
,q21corecompcodebasenav,q27emergingtechskill,1.0,8.0,452.0,452.0,0.0
,"state hospitals, department of",correctional health care services,18968.0,32250.0,346018.0,346018.0,0.0
,ball field,clubhouse,934.0,674.0,5494.0,5494.0,0.0
,jey;gbr,ind,1.0,3.0,2031.0,2031.0,0.0
,renewable energy products,office supplies,585.0,362.0,671205.0,671205.0,0.0
,treble cornetto,alto clarinet,8.0,7.0,806179.0,806179.0,0.0
,y03,z14a,33.0,1.0,2117.0,2117.0,0.0
,nv,ne,84.0,83.0,10621.0,10621.0,0.0
,mn,ut,1.0,1.0,52.0,52.0,0.0
,new zealand,ga,368.0,208.0,73646.0,73646.0,0.0
,19th,frmt,88728.0,78514.0,3313625.0,3313625.0,0.0
196.0,ms,ms,186.0,83.0,374362.0,374362.0,1.0
,prostitution,fraud,195.0,1663.0,61779.0,61779.0,0.0
,romania,malta,76.0,1.0,374362.0,374362.0,0.0
,denmark,italy,194.0,217.0,8406.0,8406.0,0.0
,casey city council,darebin city council,176.0,2851.0,34857.0,34857.0,0.0
1710.0,zambian kwacha,zambia kwacha,78.0,20.0,100048.0,100048.0,1.0
,portugal,austria,3.0,3.0,73.0,73.0,0.0
,flute,cembalo,6708.0,73.0,806179.0,806179.0,0.0
,de,wi,16.0,48.0,2720.0,2720.0,0.0
,less: financial intermediation services indirectly measured (fisim),"agriculture, hunting, forestry; fishing",7287.0,10868.0,225363.0,225363.0,0.0
367.0,wy,wy,51.0,65.0,374362.0,374362.0,1.0
488.0,administrator,admin.,2.0,1.0,374362.0,374362.0,1.0
,"financial intermediation; real estate, renting and business activities",public administration and defence; compulsory social security,10726.0,9976.0,225363.0,225363.0,0.0
,"food and agriculture, department of",state lands commission,2649.0,69.0,346018.0,346018.0,0.0
1361.0,soft coated wheaton terrier,soft coat wheaten terrier,7.0,11.0,82545.0,82545.0,1.0
,201,941,3.0,2217.0,61281.0,61281.0,0.0
,a1050000000pnmw,a1050000002vhni,91.0,13.0,4861.0,4861.0,0.0
,education_health_and_social_work_other_community_social_and_personal_services,memorandum_item_fisim_if_distributed_to_uses,10243.0,490.0,225363.0,225363.0,0.0
,repositioning,prep,25.0,30.0,1055.0,1055.0,0.0
,npl,usa,1.0,1.0,269.0,269.0,0.0
,burkina faso,nepal,2460.0,717.0,671205.0,671205.0,0.0
,north dakota,hi,4.0,3.0,910.0,910.0,0.0
,nigeria,senegal,97.0,54.0,100048.0,100048.0,0.0
,ice,bug,15.0,5.0,801.0,801.0,0.0
,hochi film awards,alliance of women film journalists,1.0,2.0,331.0,331.0,0.0
666.0,immigration consultant,immigration consultant,9.0,5.0,374362.0,374362.0,1.0
484.0,secretary/treasurer,secretary/treasurer,1.0,1.0,374362.0,374362.0,1.0
1641.0,forint,forint,496.0,765.0,100048.0,100048.0,1.0
,phone xchnge/equip,tourist hotel/motel,38.0,1601.0,198900.0,198900.0,0.0
,560,30,1082.0,11.0,82958.0,82958.0,0.0
,north america,low income,1519.0,1519.0,401016.0,401016.0,0.0
,mill park,sylvan-highlnds,846.0,47.0,63279.0,63279.0,0.0
,west chicago,san francisco,4.0,4555.0,16330.0,16330.0,0.0
,chicago film critics association awards,"writers guild of america, usa",4.0,2.0,331.0,331.0,0.0
4423.0,colonial theater,colonial theatre,6.0,16.0,806179.0,806179.0,1.0
,lao,hun,3.0,15.0,59228.0,59228.0,0.0
4120.0,black & brown & white,white & brown & black,54.0,25.0,82545.0,82545.0,1.0
,construction,health and social work,10851.0,4576.0,225363.0,225363.0,0.0
,brazil,argentina,25.0,5631.0,150930.0,150930.0,0.0
,sri lanka,bosnia and herzegovina,5.0,1.0,59228.0,59228.0,0.0
953.0,chihuahua cross,chihuahua cross,5.0,42.0,82545.0,82545.0,1.0
617.0,counsel,counsel,26.0,292.0,374362.0,374362.0,1.0
,conf,extpar,76.0,15.0,1518.0,1518.0,0.0
,employer in own family-operated farm or business,worked with pay in own family-operated farm or business,2581.0,14.0,41544.0,41544.0,0.0
,north america,western europe,2.0,21.0,158.0,158.0,0.0
146.0,al,al,630.0,404.0,374362.0,374362.0,1.0
,qatar,bahamas,368.0,368.0,73646.0,73646.0,0.0
,south carolina,me,185.0,60.0,10621.0,10621.0,0.0
,cameroon,côte d'ivoire,4283.0,4524.0,1189482.0,1189482.0,0.0
,information_and_communication,education,3022.0,1086.0,68023.0,68023.0,0.0
,stage director,vocal group,14.0,263.0,806179.0,806179.0,0.0
,tec,arm,1.0,1.0,269.0,269.0,0.0
,public administration and defence; compulsory social security,"financial intermediation; real estate, renting and business activities",9976.0,10726.0,225363.0,225363.0,0.0
,2,353,6.0,1.0,61497.0,61497.0,0.0
,less_current_transfers_to_the_rest_of_the_world,plus_compensation_of_employees_from_the_rest_of_the_world,8852.0,4468.0,215337.0,215337.0,0.0
,006j,474,5.0,1.0,198900.0,198900.0,0.0
,mo,mn,7386.0,7385.0,403984.0,403984.0,0.0
766.0,pdte / alcc.,pdte / allc,1.0,1.0,374362.0,374362.0,1.0
1766.0,pakistan rupee,pakistan rupee,333.0,286.0,48269.0,48269.0,1.0
,pk,pz,128.0,210.0,198900.0,198900.0,0.0
,saint lucia,tunisia,14.0,2.0,59228.0,59228.0,0.0
,financial_corporations_survey_banking_survey_liabilities_included_in_the_definition_of_quasi_money,fund_position,1020.0,100000.0,884244.0,884244.0,0.0
4352.0,convention hall,convention hall ballroom,9.0,1.0,21607.0,21607.0,1.0
,chicago ridge,chicago,5.0,3168.0,16330.0,16330.0,0.0
63.0,hi,hi,34.0,55.0,374362.0,374362.0,1.0
,religion & beliefs,cars & motorcycles,18.0,2.0,602.0,602.0,0.0
,19,3,104.0,524.0,227092.0,227092.0,0.0
,siamese,snowshoe/domestic shorthair,1058.0,1.0,29421.0,29421.0,0.0
,student,engineering manager,10351.0,428.0,25090.0,25090.0,0.0
,mt,ut,21.0,96.0,7930.0,7930.0,0.0
3793.0,f,f,1578.0,8270.0,158026.0,158026.0,1.0
1441.0,wire hair terrier,wirehaired terrier,3.0,4.0,82545.0,82545.0,1.0
3940.0,"foster city, ca 94404","foster city, ca",3.0,1.0,22000.0,22000.0,1.0
,commercial host (dram shop) liability status for alcohol service,age-adjusted prevalence,106.0,128577.0,403984.0,403984.0,0.0
,sb,my,155.0,107.0,151623.0,151623.0,0.0
,accommodation_and_food_service_activities_i,manufacturing_c,12023.0,14314.0,320551.0,320551.0,0.0
,trespass,vandalism,3016.0,4933.0,63279.0,63279.0,0.0
639.0,"esq., attorney at law","esq., attorney-at-law",2.0,3.0,374362.0,374362.0,1.0
,lilac,blue,1.0,253.0,29421.0,29421.0,0.0
4495.0,spiritualism,spirituality,62.0,916.0,31212.0,31212.0,1.0
452.0,id,id,264.0,260.0,374362.0,374362.0,1.0
,british shorthair,exotic shorthair,8.0,3.0,29421.0,29421.0,0.0
,woodland park,gresham - downtown,44.0,4.0,80256.0,80256.0,0.0
,"guiana, french",slovenia,94.0,2829.0,884244.0,884244.0,0.0
,honduras,curaçao,414.0,99.0,80583.0,80583.0,0.0
,eastmoreland,gresham - downtown,181.0,2.0,61497.0,61497.0,0.0
,cv,ts,618.0,3.0,24957.0,24957.0,0.0
420.0,tn,tn,1046.0,1039.0,374362.0,374362.0,1.0
,woodstock,south portland,506.0,402.0,64618.0,64618.0,0.0
,22,"11,17",179.0,1.0,227092.0,227092.0,0.0
,netherlands,croatia,1259.0,1095.0,68023.0,68023.0,0.0
,ca,hi,7542.0,7688.0,403984.0,403984.0,0.0
,1,4,788.0,294.0,191325.0,191325.0,0.0
,wind_electricity,kerosene_type_jet_fuel,1367.0,34558.0,1189482.0,1189482.0,0.0
551.0,attorney/representative,attorney representative,58.0,108.0,374362.0,374362.0,1.0
,il,new jersey,1.0,1.0,52.0,52.0,0.0
,education,financial_intermediation_real_estate_renting_and_business_activities,4698.0,10787.0,225363.0,225363.0,0.0
,b-identifier,i-trivial,513.0,1139.0,571153.0,571153.0,0.0
,bridlemile,goose hollow,144.0,679.0,70964.0,70964.0,0.0
4413.0,carnegie chamber music hall at carnegie hall,carnegie hall,1.0,6029.0,21607.0,21607.0,1.0
546.0,attorney of record,attorney of record,758.0,129.0,374362.0,374362.0,1.0
,brazil,korea/japan,2.0,1.0,20.0,20.0,0.0
,tkm,lso,1519.0,1519.0,401016.0,401016.0,0.0
512.0,senior supervising attorney,sr. supervising attorney,107.0,2.0,374362.0,374362.0,1.0
,latin america and caribbean,middle east and northern africa,24.0,19.0,157.0,157.0,0.0
,haiti,mongolia,46.0,46.0,9234.0,9234.0,0.0
4501.0,women-business-networking,womens-business-networking,23.0,215.0,31212.0,31212.0,1.0
,saint lucia,burkina faso,1.0,13.0,2772.0,2772.0,0.0
,st,ug,19.0,2.0,2483304.0,2483304.0,0.0
,hhs-toastmasters-club-in-downtown-chicago,theartofactivenetworking-newyork,24.0,1.0,5807.0,5807.0,0.0
,italian,malaysian,99.0,1.0,842.0,842.0,0.0
,comoros,honduras,46.0,46.0,9234.0,9234.0,0.0
,wi,ar,214.0,86.0,10621.0,10621.0,0.0
,pdx,981,3.0,696.0,59853.0,59853.0,0.0
,plus_compensation_of_employees_from_and_to_the_rest_of_the_world_net,plus_current_transfers_from_and_to_the_rest_of_the_world_net,4615.0,9965.0,215337.0,215337.0,0.0
69.0,il,il,3707.0,6813.0,374362.0,374362.0,1.0
,loftus versfeld stadium,shizuoka stadium ecopa,6.0,3.0,4572.0,4572.0,0.0
499.0,agent on behalf of altra consulting services llc.,agent on behalf of altra consulting services llc,1.0,6.0,374362.0,374362.0,1.0
,la,ok,7386.0,7386.0,403984.0,403984.0,0.0
,guinea,sudan,894.0,12018.0,165808.0,165808.0,0.0
,peru,romania,16.0,120.0,129971.0,129971.0,0.0
,euthanasia,rto-adopt,6080.0,150.0,78256.0,78256.0,0.0
,sylvan-highlnds,mill park,47.0,846.0,63279.0,63279.0,0.0
3865.0,"falls church, va 22042","falls church, va",1.0,1.0,22000.0,22000.0,1.0
,wholesale,event planning,357.0,5.0,671205.0,671205.0,0.0
,north america,middle east & north africa,3.0,21.0,263.0,263.0,0.0
,sek,aud,240.0,1880.0,108129.0,108129.0,0.0
,"10,15",29,3.0,92.0,227092.0,227092.0,0.0
111.0,oh,oh,1335.0,2208.0,374362.0,374362.0,1.0
,whittlesea city council,yarra ranges shire council,828.0,102.0,34857.0,34857.0,0.0
,trespass,drugs,2812.0,3257.0,61779.0,61779.0,0.0
,malta,venezuela,1685.0,78.0,515738.0,515738.0,0.0
,3,guatemala,19.0,228.0,100048.0,100048.0,0.0
4284.0,beige/gold,beige & golden,3.0,1.0,82545.0,82545.0,1.0
3807.0,sh.med.phys.zs,sh.med.phys.zs,1.0,194.0,463231.0,463231.0,1.0
,742,922,847.0,1090.0,70964.0,70964.0,0.0
,south dakota,new hampshire,16.0,16.0,2720.0,2720.0,0.0
,pz,pk,210.0,128.0,198900.0,198900.0,0.0
3693.0,smythes creek,smythes creek,164.0,318.0,158026.0,158026.0,1.0
552.0,attorney & counselor at law,attorney and counselor at law,30.0,26.0,374362.0,374362.0,1.0
,malawi,south africa,434.0,10887.0,165808.0,165808.0,0.0
,nok,gbp,114.0,8758.0,108129.0,108129.0,0.0
,view,like,61086.0,5745.0,72312.0,72312.0,0.0
,orin,mont,44312.0,103262.0,3313625.0,3313625.0,0.0
4248.0,beige/black,beige & black,8.0,4.0,82545.0,82545.0,1.0
,mm,bi,1870.0,880.0,671205.0,671205.0,0.0
,"7,38","3,24",1.0,8.0,223379.0,223379.0,0.0
244.0,vt,vt,53.0,42.0,374362.0,374362.0,1.0
,south africa,austria,368.0,368.0,73646.0,73646.0,0.0
,ba,3,1.0,12.0,82958.0,82958.0,0.0
3612.0,gtm,gtm,2058.0,14.0,463231.0,463231.0,1.0
,layer 1 up,end,212.0,25.0,1668.0,1668.0,0.0
,imports of goods,imports of services,9227.0,9108.0,188939.0,188939.0,0.0
537.0,"associate, gibney, anthony & flaherty llp","associate, gibney, anthony & flaherty, llp",2.0,3.0,374362.0,374362.0,1.0
,ks,vt,7386.0,7732.0,403984.0,403984.0,0.0
,04m,10a,9016.0,2682.0,399918.0,399918.0,0.0
691.0,lead attorney,lead attorney,2.0,58.0,374362.0,374362.0,1.0
,filipino,moroccan,663.0,264.0,399918.0,399918.0,0.0
,david,wise owl award,8.0,1.0,331.0,331.0,0.0
,vdg,cha,1.0,1.0,842.0,842.0,0.0
,ny,id,15.0,15.0,626.0,626.0,0.0
,w15,x10,33.0,33.0,2117.0,2117.0,0.0
,st maarten,puerto rico,11.0,180.0,515738.0,515738.0,0.0
,other_service_activities,arts_entertainment_and_recreation,2626.0,934.0,61626.0,61626.0,0.0
,az,ms,1246.0,278.0,48722.0,48722.0,0.0
,roseway,brentwd-darlngt,719.0,1150.0,80256.0,80256.0,0.0
,disorderly conduct,curfew,4008.0,24.0,61497.0,61497.0,0.0
,g15,i08,4.0,26.0,1420.0,1420.0,0.0
,local_02,local_07,24.0,14.0,439.0,439.0,0.0
,disorderly conduct,prostitution,3975.0,226.0,61281.0,61281.0,0.0
,bernal heights,mission bay,6067.0,2287.0,198900.0,198900.0,0.0
,ic.frm.isoc.zs,sp.dyn.amrt.fe,6.0,56.0,373.0,373.0,0.0
,ca-mb ca-sb wbe,wbe wosb,9.0,1.0,346018.0,346018.0,0.0
,6l,sn,93.0,1376.0,151623.0,151623.0,0.0
531.0,shareholder - managing attorney,"shareholder, managing attorney",1.0,35.0,374362.0,374362.0,1.0
,"23,43","11,16",5.0,7.0,595971.0,595971.0,0.0
,plus_current_transfers_from_the_rest_of_the_world,equals_net_national_income,8949.0,8928.0,215337.0,215337.0,0.0
,y12b,r1z8,1.0,33.0,2117.0,2117.0,0.0
,south carolina,ms,184.0,59.0,7930.0,7930.0,0.0
3834.0,advertising and pr servicesmanagement consulting servicesbusiness services - other,advertising and pr services management consulting services business services - other,18.0,17.0,22000.0,22000.0,1.0
,gwangju,daegu,3.0,4.0,4572.0,4572.0,0.0
,total value added,other activities (isic j-p),9234.0,9234.0,73645.0,73645.0,0.0
,31,uganda,1.0,728.0,320551.0,320551.0,0.0
,l01,i06,6.0,27.0,1420.0,1420.0,0.0
,mendocino,bardolino,454.0,22.0,150930.0,150930.0,0.0
,saint lucia,lao people's democratic republic,368.0,368.0,73646.0,73646.0,0.0
,calorie posting / second compliance inspection,smoke-free air act / re-inspection,6.0,1605.0,399918.0,399918.0,0.0
,former netherlands antilles,suriname,359.0,401.0,81106.0,81106.0,0.0
,dlr,dir,1.0,1.0,842.0,842.0,0.0
,other_community_social_and_personal_services,public_administration_and_defence_compulsory_social_security,4964.0,10020.0,225363.0,225363.0,0.0
,ic.frm.femo.zs,ic.frm.bnks.zs,6.0,6.0,373.0,373.0,0.0
,val,acoin,564.0,1183.0,610676.0,610676.0,0.0
,keaau,wildwood,1.0,1.0,24591.0,24591.0,0.0
,id,or,16.0,32.0,2720.0,2720.0,0.0
,electrician,printing,284.0,434.0,671205.0,671205.0,0.0
4518.0,art,art classes,329.0,5.0,31212.0,31212.0,1.0
,"césar awards, france","people's choice awards, usa",6.0,1.0,331.0,331.0,0.0
,vgb;cym;chn,imn;usa,1.0,23.0,24957.0,24957.0,0.0
,"79,99","5,40",3.0,13.0,595971.0,595971.0,0.0
,sellwd-moreland,homestead,745.0,220.0,63279.0,63279.0,0.0
,cri,deu,53.0,333.0,59228.0,59228.0,0.0
,"1,8",57,2.0,7.0,225363.0,225363.0,0.0
,north korea/south korea,philippines/cordillera,4.0,1.0,1518.0,1518.0,0.0
,malaysian grand prix,bahrain grand prix,19.0,14.0,997.0,997.0,0.0
,pg,de,42.0,20116.0,2483304.0,2483304.0,0.0
,euu,isl,1.0,1.0,269.0,269.0,0.0
,mbe,mbe wosb,67.0,1.0,346018.0,346018.0,0.0
,drycleaning and laundry services (except coin-operated),plastics and rubber industry machinery manufacturing,15.0,2.0,374362.0,374362.0,0.0
,cordoba,rosario,8.0,6.0,4572.0,4572.0,0.0
,media digital creative jobs,energy jobs,915.0,650.0,50000.0,50000.0,0.0
,cs,sp,2.0,1.0,161.0,161.0,0.0
3966.0,"charlotte, nc","charlotte, nc 28202",1.0,1.0,22000.0,22000.0,1.0
,united states,qatar,2863.0,274.0,215337.0,215337.0,0.0
,yarra ranges shire council,whittlesea city council,102.0,828.0,34857.0,34857.0,0.0
,layer 2 up,layer 1 down,143.0,232.0,1668.0,1668.0,0.0
,domestic shorthair,persian,23720.0,29.0,29421.0,29421.0,0.0
,sgd,cad,114.0,3275.0,63465.0,63465.0,0.0
3645.0,fletchers/fletchers,fletchers,3.0,861.0,34857.0,34857.0,1.0
3577.0,usa,usa,1.0,3506.0,463231.0,463231.0,1.0
3764.0,südsteiermark,südoststeiermark,64.0,57.0,150930.0,150930.0,1.0
,sub-saharan africa (ida & ibrd countries),israel,1519.0,1519.0,401016.0,401016.0,0.0
,austria,yugoslavia,1.0,2.0,20.0,20.0,0.0
312.0,mt,mt,78.0,63.0,374362.0,374362.0,1.0
,25,38,2.0,8.0,191325.0,191325.0,0.0
,austrian grand prix,singapore grand prix,31.0,11.0,997.0,997.0,0.0
,wy,nc,7386.0,7779.0,403984.0,403984.0,0.0
940.0,cavalier king charles spaniel cross,cavalier king charles spaniel cross,165.0,21.0,82545.0,82545.0,1.0
595.0,vp operations,vp of operations,1.0,1.0,374362.0,374362.0,1.0
,orange,silver,201.0,7.0,29421.0,29421.0,0.0
,az,ks,7747.0,7386.0,403984.0,403984.0,0.0
,tjk,col,454.0,824.0,15736.0,15736.0,0.0
,4,"1,9",946.0,1.0,100048.0,100048.0,0.0
247.0,vi,virgin islands,17.0,21.0,374362.0,374362.0,1.0
,972,tu,1663.0,1.0,80256.0,80256.0,0.0
,mn,ma,24.0,24.0,1224.0,1224.0,0.0
,il,id,1.0,1.0,52.0,52.0,0.0
