w1,w2,count1,count2,total1,total2,isDuplicate,jaccard_1,jaccard_2,jaccard_3,cosine_1,cosine_2,cosine_3,w_levenshtein
"1,9","10,11,12",19.0,2.0,227092.0,227092.0,0.0,0.6,0.8571428571428572,1.0,0.2614510541240036,0.7642977396044842,1.0,6.0
wy,hi,15.0,15.0,626.0,626.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
senegal,bhutan,3642.0,4427.0,884244.0,884244.0,0.0,0.8,1.0,1.0,0.7278344730240913,1.0,1.0,6.0
white,asian,204.0,7.0,466566.0,466566.0,0.0,0.875,1.0,1.0,0.8309691490542968,1.0,1.0,4.0
chinuri,johannisberg riesling,1.0,15.0,150930.0,150930.0,0.0,0.7333333333333334,0.9166666666666666,1.0,0.3753049524455757,0.8174258141649446,1.0,17.0
latin america,gabon,93.0,136.0,151623.0,151623.0,0.0,0.8461538461538461,1.0,1.0,0.6096399708205866,1.0,1.0,11.0
côte d'ivoire,slovenia,46.0,26.0,9234.0,9234.0,0.0,0.7333333333333334,1.0,1.0,0.48550424457247354,1.0,1.0,12.0
russian hill,north beach,5495.0,4054.0,198900.0,198900.0,0.0,0.6428571428571428,1.0,1.0,0.6077677297236319,1.0,1.0,12.0
bernal heights,treasure island,6067.0,81.0,198900.0,198900.0,0.0,0.3571428571428571,1.0,1.0,0.26279021922551415,1.0,1.0,12.0
caithness,italy,6.0,4.0,50000.0,50000.0,0.0,0.7,0.9090909090909091,1.0,0.5954800825220548,0.8232233047033631,1.0,7.0
collie x,coolie x,24.0,12.0,82545.0,82545.0,1.0,0.0,0.25,0.6666666666666667,0.1000000000000002,0.14285714285714302,0.4999999999999999,1.0
leonberger,leonberger,5.0,1.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manchester terrier,manchester terrier,4.0,8.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cavalier king charles spaniel cross,cavalier king charles spaniel cross,165.0,21.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bolivar,bolivar,120.0,308.0,100048.0,100048.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esp,ssd,52.0,25.0,6285.0,6285.0,0.0,0.75,1.0,1.0,0.4836022205056778,1.0,1.0,2.0
"6,7",53,14.0,43.0,225363.0,225363.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
teatro imperio,monterey county fairgrounds,2.0,1.0,21607.0,21607.0,0.0,0.5294117647058824,0.90625,1.0,0.28437355266786557,0.8573045517536517,1.0,22.0
peruvian,hawaiian,1600.0,149.0,399918.0,399918.0,0.0,0.7,0.8333333333333334,0.9090909090909091,0.4696699141100894,0.7142857142857143,0.8333333333333333,5.0
corindhap,bangholme,43.0,124.0,158026.0,158026.0,0.0,0.7142857142857143,1.0,1.0,0.5555555555555556,1.0,1.0,9.0
sp.pop.5559.ma.5y,se.sec.tchr.fe,855.0,601.0,463231.0,463231.0,0.0,0.8666666666666667,1.0,1.0,0.6271634510960847,1.0,1.0,13.0
monza,barcelona,1.0,2.0,73.0,73.0,0.0,0.7,0.9090909090909091,1.0,0.4606401100294063,0.8232233047033631,1.0,7.0
strathmore heights,kew east,13.0,134.0,34857.0,34857.0,0.0,0.6153846153846154,0.9565217391304348,1.0,0.42024909563579715,0.9083301502971789,1.0,15.0
good - id from video,morphological id by invert. zoologist,8334.0,1.0,513373.0,513373.0,0.0,0.6086956521739131,0.9090909090909091,0.9583333333333334,0.20748460128091462,0.784793588334529,0.926378982616769,28.0
can,btn,25.0,23.0,6285.0,6285.0,0.0,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,2.0
belarussian rouble (re-denom. 1:10000),lebanese pound,29.0,606.0,68023.0,68023.0,0.0,0.5238095238095238,0.9090909090909091,1.0,0.2808534800392084,0.8308180262248746,1.0,31.0
paraguayan guarani,colombian peso,1.0,1.0,263.0,263.0,0.0,0.6875,0.9130434782608696,0.96,0.6713121324330418,0.8398718461949128,0.9354502775632098,15.0
french culture,harry potter movies,54.0,2.0,31212.0,31212.0,0.0,0.7222222222222222,1.0,1.0,0.4432977857310959,1.0,1.0,16.0
namibia,guatemala,15.0,2104.0,151623.0,151623.0,0.0,0.8,1.0,1.0,0.45505073908693394,1.0,1.0,7.0
ben,pse,34.0,27.0,6285.0,6285.0,0.0,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,3.0
constr type 2,wood frame (5),4068.0,113350.0,198900.0,198900.0,0.0,0.7894736842105263,0.9583333333333334,1.0,0.5426704396199764,0.9199359230974564,1.0,12.0
in-house attorney,"chun & associates, llc",1.0,1.0,374362.0,374362.0,0.0,0.4117647058823529,0.9428571428571428,1.0,0.427128445302249,0.8908910548820038,1.0,18.0
expert id from image,poor - id from video,48.0,202.0,513373.0,513373.0,0.0,0.4,0.7142857142857143,0.7586206896551724,0.24292807822714613,0.5238095238095238,0.611111111111111,11.0
china/russia,namibia/south africa,5.0,4.0,1518.0,1518.0,0.0,0.4,0.8888888888888888,1.0,0.15880897580794007,0.7924856608401776,1.0,14.0
colðn,basse-kotto,1.0,1.0,2772.0,2772.0,0.0,0.9166666666666666,1.0,1.0,0.7830695421813438,1.0,1.0,10.0
tan,yellow,5.0,8.0,29421.0,29421.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
view,like,61086.0,5745.0,72312.0,72312.0,0.0,0.6666666666666667,1.0,1.0,0.5,1.0,1.0,3.0
white/ginger,ginger/white,13.0,10.0,82545.0,82545.0,1.0,0.0,0.3076923076923077,0.46153846153846156,-2.220446049250313e-16,0.18181818181818177,0.30000000000000016,10.0
national defense and public order and security and safety services,transportation and storage and mail services,2168.0,5740.0,346018.0,346018.0,0.0,0.30000000000000004,0.6721311475409837,0.810126582278481,0.09668567980198584,0.3672064673015797,0.5076340360826691,38.0
hit wicket,retired hurt,9.0,9.0,150460.0,150460.0,0.0,0.5454545454545454,0.9444444444444444,1.0,0.43019711770181024,0.9075499672957952,1.0,10.0
escuintla,orinoquia y amazonia,1.0,1.0,2772.0,2772.0,0.0,0.75,0.9166666666666666,1.0,0.5188747756753118,0.8456966500379081,1.0,17.0
mp,wy,7.0,1.0,374362.0,374362.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
annual membership (indy - pacers bikeshare ),local365,10.0,126517.0,649231.0,649231.0,0.0,0.875,0.9782608695652174,1.0,0.8115663342796421,0.9460050752843961,1.0,41.0
norwegian elkhound,norwegian elk hound,6.0,6.0,82545.0,82545.0,1.0,0.0,0.1578947368421053,0.26315789473684215,0.015675861711910488,0.08534087923995282,0.15112531237283455,1.0
kenya shillings,danish krone,352.0,828.0,61626.0,61626.0,0.0,0.4285714285714286,0.9583333333333334,1.0,0.27553832365204123,0.919417703597462,1.0,11.0
"1,4",34,11.0,15.0,227092.0,227092.0,0.0,0.75,1.0,1.0,0.5917517095361371,1.0,1.0,2.0
st paul,st. paul,1.0,1.0,558.0,558.0,1.0,0.125,0.375,0.625,0.06458565330651478,0.22848325018954052,0.4522774424948339,1.0
netherlands antillean guilder,turkish lira,416.0,20.0,100048.0,100048.0,0.0,0.3571428571428571,1.0,1.0,0.38888888888888884,1.0,1.0,24.0
sable,sable,160.0,176.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gross capital formation,less: financial intermediation services indirectly measured (only to be deducted if fisim is not distributed to uses),4332.0,2324.0,227092.0,227092.0,0.0,0.4782608695652174,0.8924731182795699,0.967741935483871,0.28538790675295755,0.8114158727146606,0.9243124367391403,102.0
picpoul,colombard,8.0,22.0,150930.0,150930.0,0.0,0.7272727272727273,1.0,1.0,0.5979848738963152,1.0,1.0,9.0
italian greyhound x,italian greyhound x,4.0,4.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit/white,biscuit & white,1.0,2.0,82545.0,82545.0,1.0,0.25,0.4,0.5,0.12712843905603044,0.1982162742627268,0.33100639199432735,3.0
35,17,3.0,122.0,227092.0,227092.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
grignolino,trebbiano di lugana,2.0,16.0,150930.0,150930.0,0.0,0.5384615384615384,0.9583333333333334,1.0,0.4255730420964472,0.8651600275073515,1.0,13.0
portugese water dog,portuguese water dog,4.0,5.0,82545.0,82545.0,1.0,0.0,0.15000000000000002,0.25,0.012864705207252691,0.08074528025901229,0.1425070742874558,1.0
german shepherd dog,german shepherd dog,547.0,853.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nv.agr.totl.kn,sp.hou.fema.zs,1.0,266.0,463231.0,463231.0,0.0,0.8333333333333334,1.0,1.0,0.521286446121831,1.0,1.0,11.0
group b,group f,60.0,48.0,4572.0,4572.0,0.0,0.25,0.2857142857142857,0.33333333333333337,0.14285714285714302,0.16666666666666652,0.20000000000000018,1.0
bayview hunters point,inner sunset,5669.0,5776.0,198900.0,198900.0,0.0,0.5,0.8888888888888888,1.0,0.23416041893251638,0.8071526960400325,1.0,15.0
"milton court at guild hall, barbican centre",salle du pavillon,185.0,7.0,806179.0,806179.0,0.0,0.55,0.9183673469387755,0.9814814814814815,0.2816608213485472,0.8,0.9606250384520921,35.0
geneva,stockholm,1572.0,2705.0,125527.0,125527.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
other_depository_corporations_deposit_money_banks_non_monetary_liabilities,other_financial_corporations_other_banking_nonbank_financial_institutions_non_monetary_liabilities,39313.0,6089.0,884244.0,884244.0,0.0,0.19047619047619047,0.3970588235294118,0.5425531914893618,0.10044211985644047,0.3491022620138686,0.4763771926659147,45.0
bermuda dollar,ngultrum,190.0,208.0,100048.0,100048.0,0.0,0.6923076923076923,1.0,1.0,0.5280600962757306,1.0,1.0,13.0
montserrado,south kordofan,1.0,1.0,2772.0,2772.0,0.0,0.5,0.9545454545454546,1.0,0.2494446500534866,0.9122941980692971,1.0,10.0
lebanese pound,1999 ats euro / euro,606.0,626.0,61626.0,61626.0,0.0,0.625,1.0,1.0,0.49704430923045484,1.0,1.0,16.0
id,mi,15.0,15.0,626.0,626.0,0.0,0.6666666666666667,1.0,1.0,0.5000000000000001,1.0,1.0,2.0
harlequin,harlequin,7.0,4.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vatu,kip,323.0,56.0,227092.0,227092.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
azerbaijan,malta,1.0,1.0,152.0,152.0,0.0,0.9090909090909091,1.0,1.0,0.43305329048615915,1.0,1.0,8.0
iranian rial,iranian rial,228.0,352.0,100048.0,100048.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el colorado,new mexico,3.0,95.0,150930.0,150930.0,0.0,0.6923076923076923,0.9444444444444444,1.0,0.5364136750272347,0.894590744661054,1.0,9.0
environmental services,domestic appliances and supplies and consumer electronic products,1449.0,3665.0,346018.0,346018.0,0.0,0.25,0.8571428571428572,0.9726027397260274,0.23064453974580978,0.7305698743781747,0.9496845394573372,52.0
red & white,red/white,136.0,329.0,82545.0,82545.0,1.0,0.30000000000000004,0.5,0.6666666666666667,0.221501055838477,0.3291796067500631,0.49604736932103044,3.0
"kathy w. goss, attorney at law",executive director law offices and foreclosure jus,4.0,1.0,374362.0,374362.0,0.0,0.5833333333333333,0.8852459016393442,0.9577464788732395,0.39112258432663716,0.8212469224827346,0.9225403330758517,40.0
castran,castran,31.0,1.0,34857.0,34857.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poodle standard x,poodle (standard) x,1.0,451.0,82545.0,82545.0,1.0,0.1428571428571429,0.30000000000000004,0.47619047619047616,0.032795848350648305,0.17504208861569448,0.31115327980633556,2.0
fox terrier (smooth),fox terrier (smooth),162.0,152.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neopolitan mastiff x,neapolitan mastiff x,2.0,5.0,82545.0,82545.0,1.0,0.0,0.19047619047619047,0.2857142857142857,0.02817468419245006,0.10526315789473706,0.16666666666666652,1.0
cmr,cmr,1778.0,14.0,463231.0,463231.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explorer ($8 plus tax),annual member,186.0,326.0,649231.0,649231.0,0.0,0.6666666666666667,0.967741935483871,1.0,0.5044053722166479,0.9398070734571153,1.0,21.0
mcgrath/langwell,bombay,1.0,1.0,34857.0,34857.0,0.0,0.8666666666666667,1.0,1.0,0.7919874264155391,1.0,1.0,15.0
includes accommodation and food service activities.,refers to ownership of dwellings.,1.0,1.0,68023.0,68023.0,0.0,0.4285714285714286,0.9393939393939394,1.0,0.28493265181202976,0.904410110887266,1.0,40.0
white,yellow,1716.0,8.0,29421.0,29421.0,0.0,0.75,1.0,1.0,0.683772233983162,1.0,1.0,6.0
serbia,"macedonia, former yugoslav republic of",1735.0,1168.0,151623.0,151623.0,0.0,0.7,0.95,1.0,0.4466832550068133,0.8529570755812385,1.0,34.0
11,15,3.0,2.0,68023.0,68023.0,0.0,0.5,1.0,1.0,0.29289321881345254,1.0,1.0,1.0
barrow industries,healthcare servicesnonprofit charitable organizationsmedical devices and supplies,1.0,3.0,22000.0,22000.0,0.0,0.4545454545454546,0.9210526315789473,0.9888888888888889,0.23019964108049895,0.7873949839323097,0.9719943983194398,69.0
executive director law offices and foreclosure jus,"kathy w. goss, attorney at law",1.0,4.0,374362.0,374362.0,0.0,0.5833333333333333,0.8852459016393442,0.9577464788732395,0.39112258432663716,0.8212469224827346,0.9225403330758517,40.0
cavalier king charles spaniel x,cavalier king charles spaniel x,302.0,208.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st.int.arvl,ny.gdp.fcst.cn,3918.0,1.0,463231.0,463231.0,0.0,0.7333333333333334,0.9,0.95,0.42024909563579715,0.7598077692923693,0.9037749551350623,12.0
"14,27",54,13.0,3.0,225363.0,225363.0,0.0,0.8333333333333334,1.0,1.0,0.683772233983162,1.0,1.0,4.0
gbr,gbr,3045.0,1.0,463231.0,463231.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pinot blanc-pinot noir,rosado,2.0,23.0,150930.0,150930.0,0.0,0.7857142857142857,1.0,1.0,0.6077677297236319,1.0,1.0,19.0
austria,france,1.0,1.0,20.0,20.0,0.0,0.8,1.0,1.0,0.5917517095361369,1.0,1.0,7.0
turkey,burkina faso,5344.0,5005.0,884244.0,884244.0,0.0,0.7857142857142857,0.8571428571428572,0.9230769230769231,0.6726731646460113,0.7303200550147031,0.841886116991581,9.0
greyhound x,greyhound x,15.0,11.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
democratic republic of congo,united states of america,5.0,62.0,374362.0,374362.0,0.0,0.2777777777777778,0.8809523809523809,0.9555555555555556,0.3066247547184635,0.7844736375678701,0.919417703597462,24.0
são tomé and principe dobra,suriname dollar,1.0,1.0,263.0,263.0,0.0,0.4444444444444444,0.8571428571428572,0.9142857142857143,0.30631202438070393,0.7379287908195205,0.8335899411324312,19.0
silver lynx,silver lynx,12.0,2.0,29421.0,29421.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premix,extsub,78.0,90.0,1518.0,1518.0,0.0,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,6.0
caramel/black,black & caramel,3.0,7.0,82545.0,82545.0,1.0,0.2727272727272727,0.375,0.5,0.11717041070435918,0.2284832501895404,0.33100639199432735,13.0
zambia,macau,1.0,1.0,1973.0,1973.0,0.0,0.7142857142857143,1.0,1.0,0.33184689521893906,1.0,1.0,5.0
cavoodle,cavoodle,169.0,109.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
papua new guinea,myanmar,558.0,147.0,151623.0,151623.0,0.0,0.8333333333333334,1.0,1.0,0.5735985672887791,1.0,1.0,14.0
fl,ar,15.0,15.0,626.0,626.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
06/05/2011,02/11/2012,45.0,45.0,8190.0,8190.0,0.0,0.33333333333333337,0.7142857142857143,0.8571428571428572,0.16679488165832224,0.5555555555555556,0.75,4.0
lari,sucre,9.0,231.0,48269.0,48269.0,0.0,0.875,1.0,1.0,0.7763932022500211,1.0,1.0,4.0
gbr,gbr,1.0,3045.0,463231.0,463231.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(second) kwanza,qatar riyal,444.0,873.0,227092.0,227092.0,0.0,0.8947368421052632,1.0,1.0,0.6315789473684211,1.0,1.0,14.0
65,47,8.0,147.0,225363.0,225363.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
"6,20",34,90.0,2.0,191325.0,191325.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
syrian arab republic,turkmenistan,14.0,1.0,2772.0,2772.0,0.0,0.5625,0.9655172413793104,1.0,0.47278038132502176,0.9308285536133926,1.0,18.0
fra,gum,52.0,20.0,6285.0,6285.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
spaniel,spaniel,29.0,20.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heeler,heeler,28.0,148.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ribolla gialla,zierfandler,87.0,16.0,129971.0,129971.0,0.0,0.6923076923076923,1.0,1.0,0.5129118129529476,1.0,1.0,11.0
20e,04d,195.0,284.0,399918.0,399918.0,0.0,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,3.0
mining,metals,241.0,148.0,439.0,439.0,0.0,0.8888888888888888,1.0,1.0,0.8709005551264194,1.0,1.0,5.0
ridgefield park,paw paw,1.0,1.0,558.0,558.0,0.0,0.75,0.875,0.9375,0.7108425340168798,0.746453723581445,0.8951715163278082,12.0
maltese liri,maltese liri,279.0,252.0,100048.0,100048.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7,10",16,1.0,84.0,227092.0,227092.0,0.0,0.8,1.0,1.0,0.6464466094067263,1.0,1.0,3.0
"wichita, ks",automotive sales and repair services; other/not classified,1.0,1.0,22000.0,22000.0,0.0,0.6956521739130435,0.9836065573770492,1.0,0.3987713226637204,0.9619306506186559,1.0,53.0
"includes professional, scientific and technical activities (m), and administrative and support service activities (n) of isic rev. 4 industry classification.",at producers' prices.,1.0,29.0,68023.0,68023.0,0.0,0.48,0.9019607843137255,0.9788732394366197,0.2623291974939842,0.7858925600498763,0.9412843048299897,141.0
united states,sierra leone,2969.0,532.0,151623.0,151623.0,0.0,0.5,1.0,1.0,0.4404971150558117,1.0,1.0,11.0
ponce,corozal,70.0,6.0,1351.0,1351.0,0.0,0.7777777777777778,1.0,1.0,0.5527864045000421,1.0,1.0,6.0
new york city,new york,688.0,55325.0,107093.0,107093.0,1.0,0.2727272727272727,0.41666666666666663,0.4545454545454546,0.1425070742874559,0.23623738417402662,0.2614510541240035,5.0
chinese yuan,malagasy ariary,1.0,1.0,263.0,263.0,0.0,0.6428571428571428,1.0,1.0,0.5996796154872821,1.0,1.0,12.0
other current transfers,"taxes on production and imports, less subsidies",7541.0,8545.0,227092.0,227092.0,0.0,0.5,0.9836065573770492,1.0,0.3321711924757583,0.9731971866290551,1.0,38.0
dobermann x,doberman x,35.0,20.0,82545.0,82545.0,1.0,0.0,0.09999999999999998,0.30000000000000004,0.03523617876226781,0.05131670194948623,0.1750420886156947,1.0
owen,commercial,4.0,1.0,34857.0,34857.0,0.0,0.8,1.0,1.0,0.7327387580875756,1.0,1.0,8.0
guyana,angola,237.0,425.0,151623.0,151623.0,0.0,0.5714285714285714,0.8888888888888888,1.0,0.2500000000000001,0.8,1.0,5.0
sandy & white,white/sandy,7.0,8.0,82545.0,82545.0,1.0,0.23076923076923073,0.4285714285714286,0.5714285714285714,0.221501055838477,0.26970325665977857,0.39697731084447274,13.0
coliseum theatre,coliseum theater,6.0,6.0,806179.0,806179.0,1.0,0.0,0.23529411764705888,0.25,-2.220446049250313e-16,0.13333333333333341,0.1428571428571429,2.0
maltese x,maltese x,3609.0,3634.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
djibouti,"yemen, republic of",534.0,1545.0,151623.0,151623.0,0.0,0.7777777777777778,1.0,1.0,0.6899131635269788,1.0,1.0,16.0
ceiba,lajas,6.0,6.0,1351.0,1351.0,0.0,0.875,1.0,1.0,0.6619382981085935,1.0,1.0,5.0
bangholme,corindhap,124.0,43.0,158026.0,158026.0,0.0,0.7142857142857143,1.0,1.0,0.5555555555555556,1.0,1.0,9.0
algeria,brazil,21.0,633.0,374362.0,374362.0,0.0,0.5,1.0,1.0,0.3195861825602282,1.0,1.0,6.0
pit bull terrier,pit bull terrier,2.0,2.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexican new peso,mexican new peso,1185.0,538.0,100048.0,100048.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jones hall for the performing arts,rheinhalle,24.0,5.0,806179.0,806179.0,0.0,0.5625,0.8571428571428572,0.9459459459459459,0.40052105958591,0.7260016878244044,0.8787321874818335,28.0
tajikistan,bosnia and herzegovina,5.0,1.0,2772.0,2772.0,0.0,0.7647058823529411,0.9642857142857143,1.0,0.4599382751326784,0.9342048305040231,1.0,20.0
adjuntas,vega baja,5.0,8.0,1351.0,1351.0,0.0,0.8333333333333334,1.0,1.0,0.4284523933505918,1.0,1.0,8.0
670,821,982.0,824.0,64618.0,64618.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
fox terrier (smooth),fox terrier (smooth),152.0,162.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver,silver,69.0,31.0,29421.0,29421.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spiritualism,spirituality,62.0,916.0,31212.0,31212.0,1.0,0.19999999999999996,0.25,0.33333333333333337,0.1000000000000002,0.16375798999290914,0.20000000000000018,2.0
sle,sle,1436.0,14.0,463231.0,463231.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3rd place,2nd place,1299.0,3226.0,225675.0,225675.0,0.0,0.36363636363636365,0.4,0.4444444444444444,0.2222222222222222,0.2500000000000001,0.2857142857142858,2.0
mandarin-language,dance-african-dance-and-drumming,38.0,3.0,31212.0,31212.0,0.0,0.23076923076923073,0.7666666666666666,0.9743589743589743,0.15355926583019608,0.5232687053772038,0.9591751709536137,22.0
czech,german,1.0,49.0,842.0,842.0,0.0,0.8888888888888888,1.0,1.0,0.8456966500379081,1.0,1.0,6.0
lowchen,lowchen,1.0,2.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kansas,alabama,1.0,1.0,52.0,52.0,0.0,0.8571428571428572,1.0,1.0,0.4196189999119907,1.0,1.0,6.0
south carolina,kentucky,1.0,1.0,52.0,52.0,0.0,0.7333333333333334,1.0,1.0,0.7018576030000281,1.0,1.0,12.0
peru,angola,1197.0,679.0,151623.0,151623.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
chicago ridge,san francisco,5.0,4555.0,16330.0,16330.0,0.0,0.5384615384615384,1.0,1.0,0.4493112082460653,1.0,1.0,12.0
