,w1,w2,ground_truth,prediction
214,china,singapore,0.0,0.0
215,media digital creative jobs,finance jobs,0.0,0.0
216,gross_fixed_capital_formation,general_government_final_consumption_expenditure,0.0,0.0
217,north carolina,nc,1.0,0.0
218,"5,27","7,17",0.0,0.0
219,average annual crude rate,median,0.0,0.0
220,production design,marionettes,0.0,0.0
221,preliminary round,semi-finals,0.0,0.0
222,virgin islands,connecticut,0.0,0.0
223,gold/brown,gold & brown,1.0,1.0
224,pr,vt,0.0,0.0
225,são paulo uberx,barranquilla uberblack,0.0,0.0
226,kennedy center honors,showest award,0.0,0.0
227,zambia,central african republic,0.0,0.0
228,fsa/rhs-guaranteed,fha-insured,0.0,0.0
229,iv,vi,0.0,0.0
230,i-trivial,i-systematic,0.0,0.0
231,black & tan,black/tan,1.0,1.0
232,2nd floor,c101,0.0,0.0
233,ar,arkansas,1.0,1.0
234,canadian,south african,0.0,0.0
235,oklahoma,ok,1.0,1.0
236,lcb,services are specifically exempt by policy,0.0,0.0
237,kazakhstan,philippines,0.0,0.0
238,u-ph3,frnt right,0.0,0.0
239,peruvian,"latin (cuban, dominican, puerto rican, south & central american)",0.0,0.0
240,weapons,curfew,0.0,0.0
241,peru,thailand,0.0,0.0
242,sullivans gulch,powelhst-gilbrt,0.0,0.0
243,05a,16b,0.0,0.0
244,q28lovephp,q26framelearnpadrino2,0.0,0.0
245,co,md,0.0,0.0
246,counsel,counsel,1.0,1.0
247,deln,colm,0.0,0.0
248,cote d'ivoire,turkmenistan,0.0,0.0
249,ri,sc,0.0,0.0
250,hbi,treatment,0.0,0.0
251,ts,cy,0.0,0.0
252,cast,civc,0.0,0.0
253,estadio nacional,"fifa world cup stadium, frankfurt",0.0,0.0
254,duii,stolen property,0.0,0.0
255,delaware,de,1.0,1.0
256,payroll,expense_securitieslendingmgmtfees,0.0,0.0
257,investmentreturn_15yr,expectedreturnmethod,0.0,0.0
258,latin america & caribbean,sub-saharan africa,0.0,0.0
259,bogotá uberangel,cuernavaca uberx,0.0,0.0
260,estonian kroon,estonian kroon,1.0,1.0
261,coolie,collie,1.0,1.0
262,majestic theatre,majestic theater,1.0,1.0
263,hugo awards,online film & television association,0.0,0.0
264,benin,azerbaijan,0.0,0.0
265,korea,sweden,0.0,0.0
266,mr.,mr.,1.0,1.0
267,fiji,panama,0.0,0.0
268,native hawaiian or other pacific islander,black or african american,0.0,0.0
269,computer hardwarecomputer softwarecomputer/it services,computer hardware computer software computer/it services,1.0,1.0
270,cm,sl,0.0,0.0
271,poland,paraguay,0.0,0.0
272,black or african american,white,0.0,0.0
273,french polynesia,poland,0.0,0.0
274,860,10,0.0,0.0
275,pakistan,nicaragua,0.0,0.0
276,gambia,trinidad and tobago,0.0,0.0
277,peat_products,coke_oven_coke,0.0,0.0
278,gross_fixed_capital_formation_including_acquisitions_less_disposals_of_valuables,final_consumption_expenditure,0.0,0.0
279,sp.reg.brth.zs,sp.reg.brth.zs,1.0,1.0
280,san francisco,south san francisco,1.0,1.0
281,jordan,lithuania,0.0,0.0
282,artisan,other,0.0,0.0
283,country_02,country_01,0.0,0.0
284,togo,uganda,0.0,0.0
285,outer richmond,lincoln park,0.0,0.0
286,tennessee,tn,1.0,0.0
287,embr,wspr,0.0,0.0
288,lisbon,lyon,0.0,0.0
289,turkey,sweden,0.0,0.0
290,"6,3","6,2",0.0,0.0
291,none,other,0.0,0.0
292,ro,qa,0.0,0.0
293,eritrea,grenada,0.0,0.0
294,embezzlement,burglary,0.0,0.0
295,som,lca,0.0,0.0
296,maintenance facility,clubhouse,0.0,0.0
297,manufacturing_mining_and_quarrying_and_other_industrial_activities,less_subsidies_on_products,0.0,0.0
298,sex offenses,aggravated assault,0.0,0.0
299,hi,wa,0.0,0.0
300,"equipment, educational","equipment, agricultural",0.0,0.0
301,portoviejo,salvador,0.0,0.0
302,mestafrica,bizspark,0.0,0.0
303,imports_of_services,plus_statistical_discrepancy,0.0,0.0
304,monti lessini,conca de barberà,0.0,0.0
305,employee,third party,0.0,0.0
306,hi,me,0.0,0.0
307,politics and civic affairs services,material handling and conditioning and storage machinery and their accessories and supplies,0.0,0.0
308,640,20,0.0,0.0
309,"director, isss","director, intl student and scholar services",1.0,1.0
310,boise,markham,0.0,0.0
311,liquor laws,homicide,0.0,0.0
312,british virgin islands;isle of man,canada;colombia,0.0,0.0
313,fr,ni,0.0,0.0
314,chad,bulgaria,0.0,0.0
315,ind,zaf,0.0,0.0
316,exports_of_goods_and_services,gross_fixed_capital_formation_including_acquisitions_less_disposals_of_valuables,0.0,0.0
317,ihub,mlabeastafrica,0.0,0.0
318,brown/tan,tan & brown,1.0,1.0
319,west virginia,iowa,0.0,0.0
320,dog,livestock,0.0,0.0
321,lkos - oak creek,st johns,0.0,0.0
322,dutch,italian,0.0,0.0
323,kochi,nagpur,0.0,0.0
324,rd,st,0.0,0.0
325,nm,hi,0.0,0.0
326,nauru,france,0.0,0.0
327,beethovenhalle,beethoven-saal,1.0,1.0
328,96799-5380,96799-6288,0.0,0.0
329,constr type 3,constr type 1,0.0,0.0
330,911,901,0.0,0.0
331,ovc6_2,npaw9_2,0.0,0.0
332,680,932,0.0,0.0
333,"4,4","5,9",0.0,0.0
334,world,st. martin (french part),0.0,0.0
335,telecommunications services; computer/it services,telecommunications services computer/it services,1.0,1.0
336,black & brown & white,white & brown & black,1.0,1.0
337,multiparty signed/agreed,status unclear,0.0,0.0
338,local_12,local_09,0.0,0.0
339,"5,6","9,9",0.0,0.0
340,ct,connecticut,1.0,1.0
341,"integrated household survey (ihs), 2009","core welfare indicator questionnaire survey (cwiq)/priority survey (ps), 2011",0.0,0.0
342,germany,kazakhstan,0.0,0.0
343,"wilmington, de 19803","wilmington, de",1.0,1.0
344,attorney at casa las americas immigration solution,"attorney, casa las americas immigration solutions,",1.0,1.0
345,portuguese,argentine-italian,0.0,0.0
346,euro,euro,1.0,1.0
347,sound studio,filling/service stn,0.0,0.0
348,cg,cp,0.0,0.0
349,michigan,indiana,0.0,0.0
350,reduced interest rate,fusai water and sanitation,0.0,0.0
351,russian,australian,0.0,0.0
352,"education; health and social work; other community, social and personal services",public administration and defence; compulsory social security,0.0,0.0
353,gib,bmu,0.0,0.0
354,manufacturing and reproducing magnetic and optical media,heating equipment (except warm air furnaces) manufacturing,0.0,0.0
355,tn,nv,0.0,0.0
356,recipient executed activities,institutional development fund,0.0,0.0
357,bmu;hkg;gbr,vgb;cyp,0.0,0.0
358,25,op,0.0,0.0
359,fishing_and_aquaculture,information_and_communication,0.0,0.0
360,alo,dav,0.0,0.0
361,abw,gab,0.0,0.0
362,npaw7_2,ovc9_0,0.0,0.0
363,b-family,i-abbreviation,0.0,0.0
364,08/02/2013,01/03/2013,0.0,0.0
365,215,045b,0.0,0.0
366,eca,cub,0.0,0.0
367,ca-dvbe ca-mb ca-sb ca-sbe mbe mosb sb sbasdb sdvosb,ca-mb ca-sb mbe mosb sb sbasdb,0.0,1.0
368,ireland;isle of man,china,0.0,0.0
369,others,mining,0.0,0.0
370,chihuahua cross,chihuahua cross,1.0,1.0
371,br,us,0.0,0.0
372,g,eg,0.0,0.0
373,less_financial_intermediation_services_indirectly_measured_fisim,forestry_and_logging,0.0,0.0
374,720,972,0.0,0.0
375,blue & grey,blue/grey,1.0,1.0
376,public,members,0.0,0.0
377,total membership,% in us bonds,0.0,0.0
378,cz,gp,0.0,0.0
379,nbrk,dubl,0.0,0.0
380,83,927,0.0,0.0
381,pen,khr,0.0,0.0
382,texas,iowa,0.0,0.0
383,nauru,cameroon,0.0,0.0
384,bolivia (plurinational state of),fiji,0.0,0.0
385,gross_fixed_capital_formation_including_acquisitions_less_disposals_of_valuables,imports_of_goods_and_services,0.0,0.0
386,tonga,25,0.0,0.0
387,black & tan & white,black/tan/white,1.0,1.0
388,new zealand,french,0.0,0.0
389,hobbies & crafts,language & ethnic identity,0.0,0.0
390,rand,rand,1.0,1.0
391,cambodia,saudi arabia,0.0,0.0
392,libya,rwanda,0.0,0.0
393,texas,tennessee,0.0,0.0
394,bricks,vehicle,0.0,0.0
395,hayden island,beaumont-wilshr,0.0,0.0
396,michigan,alabama,0.0,0.0
397,apricot,apricot,1.0,1.0
398,3rd floor,office 2/f,0.0,0.0
399,d123,hldcsh,0.0,0.0
400,jor,tls,0.0,0.0
401,vut,ltu,0.0,0.0
402,810,354,0.0,0.0
403,australia,3,0.0,0.0
404,republic of korea,"china, hong kong special administrative region",0.0,0.0
405,mexico,brazil,0.0,0.0
406,la,mi,0.0,0.0
407,liechtenstein,cyprus,0.0,0.0
408,il,ny,0.0,0.0
409,white & cream,white/cream,1.0,1.0
410,hagatna,sierra leone,0.0,0.0
411,hosfrd-abrnethy,lloyd,0.0,0.0
412,gresham - hollybrook,rose city park,0.0,0.0
413,ky,tx,0.0,0.0
414,a1050000002vt8x,a1050000000wf1h,0.0,0.0
415,albania,south africa,0.0,0.0
416,museum,tourist hotel/motel,0.0,0.0
417,mt,or,0.0,0.0
418,spiritual awareness,spiritual awareness and spiritual awareness events,1.0,1.0
419,"20,21",23,0.0,0.0
420,730,570,0.0,0.0
421,ashw,national immunization survey,0.0,0.0
422,budgetary_central_government_expense,central_bank_monetary_authorities_foreign_assets,0.0,0.0
423,beige & golden,beige/gold,1.0,1.0
424,salads,chinese/cuban,0.0,0.0
425,zimbabwe,uzbekistan,0.0,0.0
426,brazil,togo,0.0,0.0
427,pp,cd,0.0,0.0
428,651,942,0.0,0.0
429,nh,new hampshire,1.0,0.0
430,dr,gr,0.0,0.0
431,vienna,dublin,0.0,0.0
432,"metal-wheel grinders, polishers and tool sharpeners",bookbinders and related workers,0.0,0.0
433,membership: pay once  one-year commitment,annual membership,0.0,0.0
434,cuba,ethiopia [from 1993],0.0,0.0
435,q28lovejavascript,q21corecomptesting,0.0,0.0
436,games,tech,0.0,0.0
437,new york other,central valley,0.0,0.0
438,public assmbly other,tourist hotel/motel,0.0,0.0
439,microfranchise,ninh binh women's union,0.0,0.0
440,w13,z16b,0.0,0.0
441,z13b,r1x6,0.0,0.0
442,gresham - wilkes east,hollywood,0.0,0.0
443,psychic,electric,0.0,0.0
444,zambia kwacha,zambian kwacha,1.0,1.0
445,residl 3/f,up frt bld,0.0,0.0
446,leone,leone,1.0,1.0
447,fiscal year,assumed inflation,0.0,0.0
448,united nations/(bougainville),solomon islands,0.0,0.0
449,24,"2,11",0.0,0.0
450,liberia,georgia,0.0,0.0
451,democratic republic of the congo,paraguay,0.0,0.0
452,egy,mar,0.0,0.0
453,grindstonexl,88mph_africa,0.0,0.0
454,michigan,tennessee,0.0,0.0
455,liberia,samoa,0.0,0.0
456,frameshift_variant&start_lost&start_retained_variant,intron_variant,0.0,0.0
457,"teachers and instructors, all other","teachers and instructors, all other*",1.0,1.0
458,phil,ssan,0.0,0.0
459,nepal,andorra,0.0,0.0
460,hungarian grand prix,pescara grand prix,0.0,0.0
461,r1z8,r2y2,0.0,0.0
462,legal advisory services,"works,  industrial plants",0.0,0.0
463,ut,wv,0.0,0.0
464,uzbekistan,chile,0.0,0.0
465,discrepancy between components and total as one or more components have not been revised.,all data for gdp and its components refer to provisional data for this year.,0.0,0.0
466,26,9,0.0,0.0
467,real_estate_activities_l,manufacturing_c,0.0,0.0
468,11,5,0.0,0.0
469,sh,ir,0.0,0.0
470,53,325,0.0,0.0
471,a1050000000wf0x,a1050000000qbwq,0.0,0.0
472,manufactured housing,one-to-four family dwelling (other than manufactured housing),0.0,0.0
473,south africa,turkmenistan,0.0,0.0
474,ca-sb sb wosb,mbe wbe,0.0,0.0
475,oregon,kentucky,0.0,0.0
476,"6,4","10,8",0.0,0.0
477,gin,com,0.0,0.0
478,q29framelovepadrino,q23framenetcore,0.0,0.0
479,madrid,warsaw,0.0,0.0
480,kazakhstan,djibouti,0.0,0.0
481,swedish krona,swedish krona,1.0,1.0
482,sv,ml,0.0,0.0
483,ca-mb ca-sb mbe mosb sb sbasdb,ca-dvbe ca-mb ca-sb ca-sbe mbe mosb sb sbasdb sdvosb,0.0,1.0
484,botswana,kuwait,0.0,0.0
485,clean energy,other,0.0,0.0
486,all data for gdp and its components refer to provisional data for this year.,discrepancy between components and total as one or more components have not been revised.,0.0,0.0
487,mexico,the former yugoslav republic of macedonia,0.0,0.0
488,dk,se,0.0,0.0
489,bfa,bfa,1.0,1.0
490,liquor laws,stolen property,0.0,0.0
491,chihuahua cross,chihuahua cross,1.0,1.0
492,yem,yem,1.0,1.0
493,tulbagh,vinho verde,0.0,0.0
494,public_administration_and_defence_compulsory_social_security,financial_and_insurance_activities,0.0,0.0
495,vietnam,cote d'ivoire,0.0,0.0
496,cc_hub,sbootcamp,0.0,0.0
497,hn,pw,0.0,0.0
498,beige & cream,beige/cream,1.0,1.0
499,montana,mt,1.0,0.0
500,litas,litas,1.0,1.0
501,kansas,st. louis,0.0,0.0
502,vnm,tgo,0.0,0.0
503,cd,pp,0.0,0.0
504,q2age,q13empmeasothercodingchallenge,0.0,0.0
505,fis,lot,0.0,0.0
506,han chinese,bengali,0.0,0.0
507,hungary,bangladesh,0.0,0.0
508,alameda,gresham - mt. hood,0.0,0.0
509,win_a,win_b,0.0,0.0
510,romania,madagascar,0.0,0.0
511,ny,new york,1.0,0.0
512,israel,ireland,0.0,0.0
513,retail sales,temple,0.0,0.0
514,wepay,others,0.0,0.0
515,lesotho,canada,0.0,0.0
516,nebraska,connecticut,0.0,0.0
517,ga,dc,0.0,0.0
518,chad,kiribati,0.0,0.0
519,he,co,0.0,0.0
520,norway,sint maarten (dutch part),0.0,0.0
521,colombia,angola/burundi/central african republic/democratic republic of congo/kenya/republic of congo/rwanda/sudan/tanzania/uganda/zambia/(african great lakes),0.0,0.0
522,fl,florida,1.0,1.0
523,ks,nv,0.0,0.0
524,beaverton - five oaks 3c,crestwood,0.0,0.0
525,cap storm bu,special project yt,0.0,0.0
526,moz,kgz,0.0,0.0
527,g-28 atty,g-28 attorney,1.0,1.0
528,mmr,rus,0.0,0.0
529,cfa franc,cfa franc,1.0,1.0
530,belgium,bulgaria,0.0,0.0
531,indonesia,uganda,0.0,0.0
532,georgia,ga,1.0,0.0
533,domestic mediumhair/siamese,british shorthair,0.0,0.0
534,turkey,belgium,0.0,0.0
535,central african republic,peru,0.0,0.0
536,persian,norwegian forest cat,0.0,0.0
537,ga,nc,0.0,0.0
538,st. bernard x,st bernard x,1.0,1.0
539,tls,nga,0.0,0.0
540,new york,ny,1.0,0.0
541,"1,13",1,0.0,0.0
542,"equals: value added, gross, at basic prices","wholesale and retail trade, transportation and storage, accommodation and food service activities",0.0,0.0
543,virginia,va,1.0,0.0
544,8,21,0.0,0.0
545,layer 2 up,layer 3 down,0.0,0.0
546,"attorney for m. reza mizani, m.d., p.a.",attorney for m. reza mizani md pa,1.0,1.0
547,tea,tza,0.0,0.0
548,roofers,government tax and excise officials,0.0,0.0
549,approved,revoked,0.0,0.0
550,z14,y04,0.0,0.0
551,office manager,office manager,1.0,1.0
552,fl,md,0.0,0.0
553,prep,end,0.0,0.0
554,slovenia,denmark,0.0,0.0
555,europe and eurasia,cross-regional,0.0,0.0
556,va,sd,0.0,0.0
557,bmu;vgb;chn,cri;imn,0.0,0.0
558,queen elizabeth theatre,queen elisabeth hall,1.0,1.0
559,54,"27,28",0.0,0.0
560,curfew,gambling,0.0,0.0
561,mi,michigan,1.0,1.0
562,human capital contracts,bridge/income smoothing,0.0,0.0
563,151,w21,0.0,0.0
564,reims,rouen,0.0,0.0
565,pdte,pdte.,1.0,1.0
566,slovakia,djibouti,0.0,0.0
567,pv of other benefits,valuation date,0.0,0.0
568,avoriaz fantastic film festival,chicago film critics association awards,0.0,0.0
569,estonia,netherlands,0.0,0.0
570,advertising and pr servicesbusiness services - other,advertising and pr servicesbusiness services - otherother/not classified,1.0,1.0
571,yes/no,age-adjusted prevalence,0.0,0.0
572,mississippi,south dakota,0.0,0.0
573,montavilla,foster-powell,0.0,0.0
574,alabama,north dakota,0.0,0.0
575,sumner,eastmoreland,0.0,0.0
576,florida,wisconsin,0.0,0.0
577,finland,estonia,0.0,0.0
578,utah,alaska,0.0,0.0
579,codru region,switzerland,0.0,0.0
580,chalkidiki,halkidiki,1.0,1.0
581,aggravated assault,offenses against family,0.0,0.0
582,private_households_with_employed_persons,education,0.0,0.0
583,panama,cabo verde,0.0,0.0
584,anatolian shepherd dog,anatolian shephard dog,1.0,1.0
585,immigration services coordinator,immigration services coordinator,1.0,1.0
586,mp,northern mariana islands,1.0,0.0
587,758,101,0.0,0.0
588,ga,wy,0.0,0.0
589,professional_scientific_technical_administrative_and_support_service_activities,accommodation_and_food_service_activities,0.0,0.0
590,"manufacturing, mining and quarrying and other industrial activities",human health and social work activities,0.0,0.0
591,kenton,sunnyside,0.0,0.0
592,wdub,mont,0.0,0.0
593,uruguay,netherlands,0.0,0.0
594,none,associate's,0.0,0.0
595,local_12,local_06,0.0,0.0
596,w50,890,0.0,0.0
597,hi,hawaii,1.0,0.0
598,a1050000000wf0z,a1050000004dc9c,0.0,0.0
599,estonian kroon,estonian kroon,1.0,1.0
600,r4w1,w06,0.0,0.0
601,27,35,0.0,0.0
602,semester membership (austin b-cycle),local365 ($80 plus tax),0.0,0.0
603,a1050000000wves,a1050000006tnqi,0.0,0.0
604,mali,chad,0.0,0.0
605,ag,mw,0.0,0.0
606,vermont,maine,0.0,0.0
607,"20,21",2,0.0,0.0
608,gresham - centennial east,wilkes,0.0,0.0
609,syrian arab republic,st. lucia,0.0,0.0
610,guatemala,haiti,0.0,0.0
611,british,russian,0.0,0.0
612,frmt,ashb,0.0,0.0
613,turkey,us,0.0,0.0
614,q20candprestigedegree,q28lovekotlin,0.0,0.0
615,industrial manufacturing and processing machinery and accessories,printing and photographic and audio and visual equipment and supplies,0.0,0.0
616,bachelor's,master's,0.0,0.0
617,fcs,and,0.0,0.0
