,w1,w2,count1,count2,total1,total2,isDuplicate
29,construction,memorandum_item_fisim_if_distributed_to_uses,10877.0,490.0,225363.0,225363.0,0.0
30,Solomon Islands,Uzbekistan,46.0,26.0,9234.0,9234.0,0.0
31,JEY;PAN,CYM;ARE,2.0,11.0,24957.0,24957.0,0.0
32,British Virgin Islands,16,135.0,1.0,61626.0,61626.0,0.0
33,Bed-and-Breakfast Inns,Residential Building Construction,1.0,20.0,374362.0,374362.0,0.0
34,New York,District of Columbia,7778.0,7352.0,403984.0,403984.0,0.0
35,Gattinara,Nebbiolo d'Alba,38.0,45.0,129971.0,129971.0,0.0
36,Colombia,Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),111.0,2.0,1518.0,1518.0,0.0
37,Worked without pay in own family-operated farm or business,Worked for private household,285.0,811.0,41544.0,41544.0,0.0
38,Statement of Qualifications,Emergency Purchase,547.0,10186.0,346018.0,346018.0,0.0
39,PQ,BR,2.0,1.0,161.0,161.0,0.0
40,13/07/2012,17/05/2013,45.0,45.0,8190.0,8190.0,0.0
41,Laos,Dominican Republic,3.0,55.0,59228.0,59228.0,0.0
42,Georgia,Connecticut,64.0,64.0,2720.0,2720.0,0.0
43,Local_12,Local_09,4.0,2.0,425.0,425.0,0.0
44,Collective consumption expenditure,Plus: Statistical discrepancy,5490.0,4766.0,188939.0,188939.0,0.0
45,Not classified,Lebanon,1.0,1.0,269.0,269.0,0.0
46,heat,sub_bituminous_coal,29656.0,5405.0,1189482.0,1189482.0,0.0
47,DPS/1.1.8,Apache/2.4.25 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,1.0,1.0,1781.0,1781.0,0.0
48,BOU,VDG,1.0,1.0,842.0,842.0,0.0
49,CAN2_2,CVD8_0,1300.0,55.0,403984.0,403984.0,0.0
50,Curfew,Aggravated Assault,29.0,1737.0,61779.0,61779.0,0.0
51,Military Department,"Public Defender, State",1086.0,112.0,346018.0,346018.0,0.0
52,Annual (Boulder B-cycle),Annual Member,129.0,326.0,649231.0,649231.0,0.0
53,French Guiana,Mauritius,1.0,7.0,2031.0,2031.0,0.0
54,Condition,Tag,371928.0,157611.0,2483304.0,2483304.0,0.0
55,006J,025C,5.0,40.0,198900.0,198900.0,0.0
56,Eritrea/Ethiopia,Democratic Republic of Congo/Rwanda,6.0,2.0,1518.0,1518.0,0.0
57,Weapons,Rape,405.0,248.0,73590.0,73590.0,0.0
58,hotels_and_restaurants,wholesale_retail_trade_repair_of_motor_vehicles_motorcycles_and_personal_and_household_goods_hotels_and_restaurants,5912.0,10743.0,223379.0,223379.0,0.0
59,ROSEWAY,MADISON SOUTH,512.0,763.0,59853.0,59853.0,0.0
60,Z01,W16,33.0,27.0,2150.0,2150.0,0.0
61,Tempranillo-Merlot,Touriga Nacional-Cabernet Sauvignon,18.0,28.0,150930.0,150930.0,0.0
62,Palau,Micronesia (Federated States of),368.0,368.0,73645.0,73645.0,0.0
63,B,A,17.0,22.0,45.0,45.0,0.0
64,Prep,End,50.0,161.0,1301.0,1301.0,0.0
65,manx/domestic longhair,scottish fold,2.0,2.0,29421.0,29421.0,0.0
66,miscellaneous_goods_and_services,restaurants_and_hotels,5364.0,5133.0,100048.0,100048.0,0.0
67,5,"3,8",18.0,1.0,258.0,258.0,0.0
68,GRESHAM - NORTH GRESHAM,GRESHAM - NORTHWEST GRESH,12.0,2.0,59853.0,59853.0,0.0
69,130,901,7.0,1263.0,70964.0,70964.0,0.0
70,Friuli,Côtes de Thongue,14.0,6.0,150930.0,150930.0,0.0
71,electricity_gas_and_water_supply,health_and_social_work,10479.0,4585.0,225363.0,225363.0,0.0
72,Zimbabwe,Cambodia,46.0,46.0,9234.0,9234.0,0.0
73,NY,PA,15.0,15.0,626.0,626.0,0.0
74,NORTH TABOR,GRANT PARK,407.0,218.0,61497.0,61497.0,0.0
75,UT,VA,32.0,48.0,2720.0,2720.0,0.0
76,MCAR,WCRK,88353.0,70235.0,3313625.0,3313625.0,0.0
77,NCON,SHAY,133550.0,174519.0,9971582.0,9971582.0,0.0
78,social care facility,storage shed,43.0,113.0,198900.0,198900.0,0.0
79,general_government_final_consumption_expenditure,equals_gross_domestic_product,14858.0,15434.0,191325.0,191325.0,0.0
80,SUNNYSIDE,NORTHWEST IND,698.0,70.0,59853.0,59853.0,0.0
81,Arts,Phone Use Sales,1092.0,1019.0,671205.0,671205.0,0.0
82,MI,OH,80.0,80.0,2720.0,2720.0,0.0
83,BROOKLYN,KING,298.0,962.0,64618.0,64618.0,0.0
84,SSD,BIH,9.0,1.0,2772.0,2772.0,0.0
85,"14,34","1,3",20.0,24.0,225363.0,225363.0,0.0
86,Colombia,Armenia,819.0,942.0,4861.0,4861.0,0.0
87,R1W8,Y16,33.0,9.0,2117.0,2117.0,0.0
88,PAPUA NEW GUINEA,BENIN,1.0,13.0,374362.0,374362.0,0.0
89,budgetary_central_government_revenue,central_government_cash_receipts,1700.0,6493.0,884244.0,884244.0,0.0
90,ME,CA,98.0,1699.0,21112.0,21112.0,0.0
91,Sint Maarten (Dutch part),Norway,88.0,368.0,73646.0,73646.0,0.0
92,Kansas,Washington,358.0,1120.0,48722.0,48722.0,0.0
93,WOODLAND PARK,RICHMOND,14.0,642.0,59853.0,59853.0,0.0
94,wholesale_and_retail_trade_transportation_and_storage_accommodation_and_food_service_activities,public_administration_and_defence_education_human_health_and_social_work_activities,2649.0,2540.0,61626.0,61626.0,0.0
95,Bolivia,United States,8806.0,6093.0,671205.0,671205.0,0.0
96,training jobs,education jobs,161.0,1898.0,50000.0,50000.0,0.0
97,"2,11",24,1.0,104.0,227092.0,227092.0,0.0
98,352,120,1.0,3.0,80256.0,80256.0,0.0
99,North Dakota,Colorado,32.0,80.0,2720.0,2720.0,0.0
100,Thailand,Zambia,1519.0,1519.0,401016.0,401016.0,0.0
101,Startup (Women),Education - Kenya,2652.0,668.0,779092.0,779092.0,0.0
102,730,570,1426.0,1089.0,82958.0,82958.0,0.0
103,fishing_and_aquaculture,administrative_and_support_service_activities,787.0,863.0,68023.0,68023.0,0.0
104,Sustainable Solar Service Package,WLIFT,59.0,10.0,779092.0,779092.0,0.0
105,SIERRA LEONE,HAGATNA,1.0,27.0,1973.0,1973.0,0.0
106,PDX,580,3.0,784.0,59853.0,59853.0,0.0
107,Guatemala,Somalia,53.0,3.0,515738.0,515738.0,0.0
108,kerosene_type_jet_fuel,additives_and_oxygenates,34558.0,3018.0,1189482.0,1189482.0,0.0
109,"Transport, storage and communication (ISIC I)",Other Activities (ISIC J-P),9188.0,9234.0,73646.0,73646.0,0.0
110,Greece,Iceland,200.0,197.0,8406.0,8406.0,0.0
111,CAP STORM,CAP BULK,126.0,602.0,564403.0,564403.0,0.0
112,California,Massachusetts,703.0,191.0,7930.0,7930.0,0.0
113,Belarus,Slovenia,145.0,195.0,8406.0,8406.0,0.0
114,4,580,1.0,921.0,64618.0,64618.0,0.0
115,741,510,1508.0,1285.0,82958.0,82958.0,0.0
116,"SERBIA, REPUBLIC OF","MICRONESIA, FED.STS.",1667.0,534.0,884244.0,884244.0,0.0
117,742,822,774.0,2532.0,61497.0,61497.0,0.0
118,Solomon Islands,United Nations/(Bougainville),3.0,1.0,1518.0,1518.0,0.0
119,Canadian,East German,13.0,3.0,842.0,842.0,0.0
120,Polish,Argentine,1.0,24.0,842.0,842.0,0.0
121,additions alterations or repairs,demolitions,14663.0,600.0,198900.0,198900.0,0.0
122,Papua New Guinea,Cayman Islands,46.0,46.0,9234.0,9234.0,0.0
123,WEST BEAVERTON,UNIVERSITY PARK,1.0,339.0,61497.0,61497.0,0.0
124,Marionettes,Bass-Baritone,8.0,280.0,56194.0,56194.0,0.0
125,Iceland,Greece,197.0,200.0,8406.0,8406.0,0.0
126,Priv. Eq. Expense,Beneficiaries,1.0,1.0,280.0,280.0,0.0
127,120,620,2.0,534.0,61281.0,61281.0,0.0
128,WV,VA,26.0,26.0,11106.0,11106.0,0.0
129,New Single-Family Housing Construction (except Operative Builders),Dental Laboratories,12.0,7.0,374362.0,374362.0,0.0
130,"Iran, Islamic Republic of",Togo,567.0,467.0,151623.0,151623.0,0.0
131,Zimbabwe,Tajikistan,42.0,454.0,15736.0,15736.0,0.0
132,Forgery,Trespass,1129.0,3098.0,64618.0,64618.0,0.0
133,DUBL,12TH,1.0,1.0,46.0,46.0,0.0
134,Singapore,9,2095.0,8.0,191325.0,191325.0,0.0
135,stop_gained&inframe_deletion,frameshift_variant&stop_retained_variant,1.0,1.0,65188.0,65188.0,0.0
136,"11,15","1,14",1.0,1.0,227092.0,227092.0,0.0
137,BF,CM,2460.0,2230.0,671205.0,671205.0,0.0
138,Germany,Armenia,2165.0,2.0,129971.0,129971.0,0.0
139,ME,IN,26.0,26.0,11106.0,11106.0,0.0
140,Garnacha,Sparkling Blend,326.0,2153.0,129971.0,129971.0,0.0
141,Azerbaijan,Armenia,1945.0,8631.0,671205.0,671205.0,0.0
142,exports_of_goods_and_services,general_government_final_consumption_expenditure,9213.0,9188.0,80583.0,80583.0,0.0
143,00927-6631,00915-2401,1.0,1.0,1351.0,1351.0,0.0
144,chartreux,turkish van,2.0,2.0,29421.0,29421.0,0.0
145,Spain,Yugoslavia,1.0,2.0,20.0,20.0,0.0
146,GL1,931,1.0,774.0,59853.0,59853.0,0.0
147,ROCK,BAYF,1.0,1.0,46.0,46.0,0.0
148,Liechtensteiner,Swiss,1.0,23.0,842.0,842.0,0.0
149,Durif,Sauvignon Blanc-Semillon,2.0,68.0,129971.0,129971.0,0.0
150,Media Buying Agencies,Food Manufacturing,1.0,7.0,374362.0,374362.0,0.0
151,Seychelles,Kuwait,46.0,46.0,9234.0,9234.0,0.0
152,BELGIUM,ALBANIA,19.0,12.0,374362.0,374362.0,0.0
153,NORTH TABOR,MT TABOR,670.0,758.0,82958.0,82958.0,0.0
154,DALY,LAKE,1.0,1.0,46.0,46.0,0.0
155,Montenegro,Ukraine,232.0,392.0,68023.0,68023.0,0.0
156,Ljubljana,Oslo,501.0,1213.0,125527.0,125527.0,0.0
157,R2W1,Z14,33.0,1.0,2117.0,2117.0,0.0
158,UK,FJ,1.0,1.0,161.0,161.0,0.0
159,Los Angeles City,New Jersey,48.0,48.0,2720.0,2720.0,0.0
160,Israel,Belarus,368.0,208.0,73646.0,73646.0,0.0
161,Liechtenstein,Bahrain,46.0,46.0,9234.0,9234.0,0.0
162,Liquor Laws,Curfew,3415.0,145.0,59853.0,59853.0,0.0
163,Computer & Electronics Retail,Leisure Products,1.0,2.0,505.0,505.0,0.0
164,Chinon,Riverland,81.0,6.0,150930.0,150930.0,0.0
165,IRL,LAC,1.0,1.0,269.0,269.0,0.0
166,"warehouse, furniture",automobile sales,65.0,74.0,198900.0,198900.0,0.0
167,Italy,Dominican Republic,2708.0,501.0,191325.0,191325.0,0.0
168,Local365 ($80 plus tax),Semester Membership (Austin B-cycle),4005.0,2426.0,649231.0,649231.0,0.0
169,Zimbabwe,Vietnam,4034.0,10843.0,671205.0,671205.0,0.0
170,22,"China, Macao Special Administrative Region",1.0,870.0,100048.0,100048.0,0.0
171,"Speaker, Male",Computers,5.0,14.0,56194.0,56194.0,0.0
172,Diabetes,Cardiovascular Disease,67342.0,62678.0,403984.0,403984.0,0.0
173,Y12a,R2Y1,1.0,33.0,2117.0,2117.0,0.0
174,Prep,Layer 1 Up,74.0,224.0,1296.0,1296.0,0.0
175,Russia,Morocco,1.0,1.0,73.0,73.0,0.0
176,a1050000000wf0r,a1050000007QjUH,13.0,7.0,4861.0,4861.0,0.0
177,Marina Bay,Le Mans,1.0,1.0,73.0,73.0,0.0
178,Other Information Services,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",13.0,18.0,374362.0,374362.0,0.0
179,Austria,Cyprus,3345.0,11.0,129971.0,129971.0,0.0
180,Estonia,Israel,1311.0,1652.0,191325.0,191325.0,0.0
181,Codru Region,Switzerland,2.0,3.0,129971.0,129971.0,0.0
182,Layer 2 Up,Layer 3 Down,131.0,98.0,1521.0,1521.0,0.0
183,CENTRAL BEAVERTON,BEAVERTON - VOSE,1.0,1.0,70964.0,70964.0,0.0
184,902,120,1153.0,7.0,64618.0,64618.0,0.0
185,Level I,Level II,65687.0,119625.0,374362.0,374362.0,0.0
186,food/beverage hndlng,phone xchnge/equip,4886.0,36.0,198900.0,198900.0,0.0
187,MI,HLDFAS,48.0,1.0,11106.0,11106.0,0.0
188,Bahrain,Liechtenstein,46.0,46.0,9234.0,9234.0,0.0
189,Tubed/piped shallow well,"Unprotected spring, river, stream, etc",1394.0,607.0,41544.0,41544.0,0.0
190,sw,gn,3.0,1.0,85881.0,85881.0,0.0
191,Services are specifically exempt by statute,Statewide Contract,33045.0,63488.0,346018.0,346018.0,0.0
192,Cook County,Alaska,16.0,32.0,2720.0,2720.0,0.0
193,Local_05,Local_03,59.0,90.0,425.0,425.0,0.0
194,AO4QE,BAL,2.0,2.0,11106.0,11106.0,0.0
195,P,D304,30.0,52.0,11106.0,11106.0,0.0
196,Tenor Trombone,Hyper-Accordion,2.0,1.0,56194.0,56194.0,0.0
197,Redemption,Kiva City D.C.,3.0,10.0,779092.0,779092.0,0.0
198,Uruguay,Croatia,368.0,208.0,72485.0,72485.0,0.0
199,69,25,4.0,300.0,223379.0,223379.0,0.0
200,Middle East and North Africa,Asia and Pacific,119.0,354.0,1518.0,1518.0,0.0
201,Belize,Angola,414.0,414.0,79422.0,79422.0,0.0
202,Yarra City Council,Monash City Council,1186.0,1466.0,34857.0,34857.0,0.0
203,X12b,X07,1.0,33.0,2150.0,2150.0,0.0
204,Djembe,Tape Recorder,1.0,2.0,56194.0,56194.0,0.0
205,Johannesburg,Port Elizabeth,8.0,7.0,636.0,636.0,0.0
206,AgeAdjPrev,CrdRate,128577.0,31311.0,403984.0,403984.0,0.0
207,Chile,Switzerland,1.0,1.0,20.0,20.0,0.0
208,"China, Hong Kong SAR",Antigua and Barbuda,46.0,46.0,9234.0,9234.0,0.0
209,TJ,BT,1918.0,148.0,151623.0,151623.0,0.0
210,22,12,9.0,30.0,100048.0,100048.0,0.0
211,141,982,6.0,858.0,70964.0,70964.0,0.0
212,Food,Well digging,10197.0,42.0,671205.0,671205.0,0.0
213,GRC,FRA,3.0,1.0,2031.0,2031.0,0.0
214,less_direct_purchases_in_domestic_market_by_non_residents,equals_total_actual_individual_consumption,3826.0,5042.0,100048.0,100048.0,0.0
215,651,942,982.0,1116.0,61281.0,61281.0,0.0
216,Comoros,Latvia,168.0,916.0,191325.0,191325.0,0.0
217,nginx/1.8.1,DOSarrest,9.0,3.0,1781.0,1781.0,0.0
218,EG,E,26328.0,16352.0,324403.0,324403.0,0.0
219,"6,8",28,48.0,379.0,595971.0,595971.0,0.0
220,Cambodia,Bolivia (Plurinational State of),368.0,368.0,73646.0,73646.0,0.0
221,Gross capital formation,Changes in inventories,9188.0,6958.0,80583.0,80583.0,0.0
222,France,Bosnia and Herzegovina,21098.0,4.0,150930.0,150930.0,0.0
223,00659-1290,00605-1836,1.0,1.0,1351.0,1351.0,0.0
224,ROSEWAY,HILLSIDE,566.0,42.0,64618.0,64618.0,0.0
225,015,018A,3740.0,243.0,198900.0,198900.0,0.0
226,"6,2","6,3",4.0,4.0,258.0,258.0,0.0
227,Sex Offenses,Fraud,404.0,1602.0,61281.0,61281.0,0.0
228,GEFSEC Recipent Executed,Technical Assistance (Non-lending),28.0,12.0,151623.0,151623.0,0.0
229,PSL,NM,2.0,1.0,24957.0,24957.0,0.0
230,GBR,ARE,1.0,1.0,269.0,269.0,0.0
231,Monterrey Socio Conde,Santiago UberX,37.0,21.0,90287.0,90287.0,0.0
232,Philippines,French Polynesia,46.0,46.0,9234.0,9234.0,0.0
233,WEB,KUB,1.0,1.0,842.0,842.0,0.0
234,Cameroon,Nauru,1519.0,1519.0,401016.0,401016.0,0.0
235,Indore,Pune,5.0,32.0,636.0,636.0,0.0
236,SE,CR,22121.0,37.0,2483304.0,2483304.0,0.0
237,InfoUSA; USDA,Death certificate,110.0,1248.0,403984.0,403984.0,0.0
238,BRIDGETON,SELLWD-MORELAND,69.0,684.0,61779.0,61779.0,0.0
239,Academy Fellowship,WGA Award (Screen),1.0,2.0,331.0,331.0,0.0
240,Russian Grand Prix,Azerbaijan Grand Prix,5.0,2.0,997.0,997.0,0.0
241,Santiago De Chile,Saint-Denis,10.0,9.0,4572.0,4572.0,0.0
242,Mali,Peru,368.0,368.0,73645.0,73645.0,0.0
243,Virginia,Guam,7386.0,5597.0,403984.0,403984.0,0.0
244,CYM,BRB,79.0,1.0,2031.0,2031.0,0.0
245,South Sudan/Aweil Counties/Gogrial West County/Twic County,Ethiopia,1.0,1.0,1518.0,1518.0,0.0
246,Vandalism,Kidnap,6097.0,40.0,82958.0,82958.0,0.0
247,Valparaiso UberX,Salta,8.0,3.0,90287.0,90287.0,0.0
248,AR,VA,6370.0,29568.0,943111.0,943111.0,0.0
249,Try Before You Buy Special,Annual (Denver B-cycle),520.0,232.0,649231.0,649231.0,0.0
250,Indiana,West Virginia,458.0,151.0,21112.0,21112.0,0.0
251,Cuba,Cayman Islands,368.0,368.0,73646.0,73646.0,0.0
252,other_financial_corporations_other_banking_nonbank_financial_institutions_liabilities_included_in_definition_of_money,financial_corporations_survey_banking_survey_non_monetary_liabilities,415.0,1581.0,884244.0,884244.0,0.0
253,Utah,Montgomery County,32.0,16.0,2720.0,2720.0,0.0
254,922,901,1180.0,1752.0,82958.0,82958.0,0.0
255,Latvia,Luxembourg,1.0,1.0,155.0,155.0,0.0
256,KS,NM,16695.0,10269.0,768922.0,768922.0,0.0
257,Switzerland,The former Yugoslav Republic of Macedonia,754.0,387.0,68023.0,68023.0,0.0
258,PerCapAlc,Median,107.0,2822.0,403984.0,403984.0,0.0
259,Anne Arundel County,Hernando County,1.0,1.0,910.0,910.0,0.0
260,424,535,15.0,14.0,10001.0,10001.0,0.0
261,CAMBODIA,CRUZ BAY,3.0,4.0,1973.0,1973.0,0.0
262,United States,United Kingdom;United States,24.0,1.0,2031.0,2031.0,0.0
263,GRESHAM - DOWNTOWN,LINNTON,8.0,113.0,70964.0,70964.0,0.0
264,03/08/2012,11/05/2012,45.0,45.0,8190.0,8190.0,0.0
265,FIN,CYP,133.0,135.0,21477.0,21477.0,0.0
266,French,New Zealand,12.0,1.0,208.0,208.0,0.0
267,IRQ,AZE,18.0,1.0,2772.0,2772.0,0.0
268,Semester Membership (Austin B-cycle),Local365 ($80 plus tax),2426.0,4005.0,649231.0,649231.0,0.0
269,BMU,GUF,10.0,1.0,2031.0,2031.0,0.0
270,RICH,POWL,208998.0,317369.0,9971582.0,9971582.0,0.0
271,Iraq/United States of America,Guatemala,1.0,18.0,1518.0,1518.0,0.0
272,finance jobs,media digital creative jobs,1793.0,915.0,50000.0,50000.0,0.0
273,Elora,Newark,1.0,3.0,24591.0,24591.0,0.0
274,tourist hotel/motel,museum,1601.0,139.0,198900.0,198900.0,0.0
275,Bulgaria,Soviet Union,19.0,13.0,4572.0,4572.0,0.0
276,education,private_households_with_employed_persons,1086.0,786.0,68023.0,68023.0,0.0
277,Estonia,Kenya,613.0,335.0,48269.0,48269.0,0.0
278,UP FRT BLD,RESIDL 3/F,1.0,3.0,198900.0,198900.0,0.0
279,Belarus,Singapore,203.0,1944.0,61626.0,61626.0,0.0
280,Diversified Financial Services,Oil & Gas Exploration & Production,10.0,18.0,505.0,505.0,0.0
281,WFRS,"NVSS, Mortality",110.0,104.0,403984.0,403984.0,0.0
282,Ireland,Yemen,414.0,243.0,81106.0,81106.0,0.0
283,High School,Master's,3595.0,103281.0,374362.0,374362.0,0.0
284,CALGARY,AKROTIRI,1.0,11.0,1973.0,1973.0,0.0
285,830,130,2781.0,2.0,64618.0,64618.0,0.0
286,splice_region_variant&synonymous_variant,stop_gained,552.0,1702.0,65188.0,65188.0,0.0
287,Saitama,Cagliari,4.0,3.0,4572.0,4572.0,0.0
288,Uruguay,Netherlands,3.0,1.0,20.0,20.0,0.0
289,CN,LS,5324.0,633.0,151623.0,151623.0,0.0
290,Anguilla,Zambia,368.0,403.0,79422.0,79422.0,0.0
291,E_PQEXP,E_D119,51.0,52.0,11106.0,11106.0,0.0
292,Curfew,Prostitution,210.0,463.0,73590.0,73590.0,0.0
293,941,20,2217.0,13.0,61281.0,61281.0,0.0
294,"Piano, four hands",Stage Manager,17.0,1.0,806179.0,806179.0,0.0
295,Institutional Development Fund,Recipient Executed Activities,1770.0,12422.0,151623.0,151623.0,0.0
296,plus_capital_transfers_from_and_to_the_rest_of_the_world_net,gross_domestic_product,6085.0,12537.0,215337.0,215337.0,0.0
297,NV,MT,2.0,9.0,558.0,558.0,0.0
298,14,"33,48",346.0,1.0,225363.0,225363.0,0.0
299,AST2_1,NPAW10_0,1116.0,4350.0,403984.0,403984.0,0.0
300,German DR,Togo,3.0,1.0,4572.0,4572.0,0.0
301,OTHER,AFRICA,75.0,39926.0,151623.0,151623.0,0.0
302,construction,manufacturing,2756.0,2652.0,61626.0,61626.0,0.0
303,GRESHAM - SOUTHWEST GRESH,FAR SOUTHWEST,1.0,105.0,63279.0,63279.0,0.0
304,agriculture_hunting_forestry_fishing_isic_a_b,other_activities_isic_j_p,8997.0,9089.0,72485.0,72485.0,0.0
305,25,Lithuania,1.0,1377.0,100048.0,100048.0,0.0
306,Trinidad and Tobago,Mexico,46.0,46.0,9234.0,9234.0,0.0
307,New Mexico,Vermont,1.0,1.0,52.0,52.0,0.0
308,GH,IL,1.0,3.0,161.0,161.0,0.0
309,KAB,BRUSH,1467.0,30551.0,564403.0,564403.0,0.0
310,Luxembourg,Germany,1504.0,819.0,68023.0,68023.0,0.0
311,Weapons,Forgery,264.0,935.0,59853.0,59853.0,0.0
312,BE,IS,12482.0,2251.0,2483304.0,2483304.0,0.0
313,Viura-Verdejo,Port,2.0,668.0,129971.0,129971.0,0.0
314,FRA,VGB;TWN,1.0,2.0,24957.0,24957.0,0.0
315,Southern Asia,Western Europe,7.0,21.0,157.0,157.0,0.0
316,882,10,763.0,6.0,63279.0,63279.0,0.0
317,Curfew,Weapons,24.0,329.0,61497.0,61497.0,0.0
318,Y08,W11a,33.0,3.0,2150.0,2150.0,0.0
319,00754-9479,00732-0142,1.0,1.0,1351.0,1351.0,0.0
320,GRESHAM - WILKES EAST,GRANT PARK,59.0,331.0,80256.0,80256.0,0.0
321,Furniture and Furnishings,Mining and Well Drilling Machinery and Accessories,7521.0,3060.0,346018.0,346018.0,0.0
322,Chad,Mauritius,46.0,46.0,9234.0,9234.0,0.0
323,LAURELHURST,NORTHWEST IND,290.0,141.0,80256.0,80256.0,0.0
324,Vermentino di Sardegna,Coteaux du Layon Beaulieu,45.0,3.0,129971.0,129971.0,0.0
325,Poison,Steel,28.0,27.0,800.0,800.0,0.0
326,Malawi,Tajikistan,413.0,234.0,80583.0,80583.0,0.0
327,15/10/2010,16/03/2012,45.0,45.0,8190.0,8190.0,0.0
328,720,971,826.0,1413.0,64618.0,64618.0,0.0
329,black_liquor,other_coal_products,4154.0,105.0,1189482.0,1189482.0,0.0
330,Lambrusco Reggiano,Vittoria,5.0,24.0,129971.0,129971.0,0.0
331,REITs,Diversified Commercial Services,16.0,1.0,505.0,505.0,0.0
332,Medical Equipment and Accessories and Supplies,Industrial Production and Manufacturing Services,16491.0,2724.0,346018.0,346018.0,0.0
333,Sebastian County,Wise County,1.0,1.0,910.0,910.0,0.0
334,SBRN,LAKE,58741.0,78480.0,3313625.0,3313625.0,0.0
335,Male,American Indian or Alaska Native,47075.0,11163.0,403984.0,403984.0,0.0
336,AU,GU,9.0,2.0,161.0,161.0,0.0
337,Bilbao,Shizuoka,3.0,3.0,4572.0,4572.0,0.0
338,MT TABOR,HOLLYWOOD,688.0,504.0,80256.0,80256.0,0.0
339,Austria,Philippines,2792.0,1157.0,191325.0,191325.0,0.0
340,KING,VERNON,754.0,174.0,61779.0,61779.0,0.0
341,abyssinian,domestic shorthair,4.0,23720.0,29421.0,29421.0,0.0
342,Expert Witneses,Fiscal Intermediaries,3800.0,23.0,346018.0,346018.0,0.0
343,Overall,"Other, non-Hispanic",63215.0,38161.0,403984.0,403984.0,0.0
344,17,"6,28",60.0,31.0,191325.0,191325.0,0.0
345,PARAGUAY,UNITED ARAB EMIRATES,16.0,138.0,374362.0,374362.0,0.0
346,Fantasporto,AACTA International Awards,1.0,1.0,331.0,331.0,0.0
347,Dragon,Steel,18.0,22.0,800.0,800.0,0.0
348,12,Finland,12.0,4513.0,215337.0,215337.0,0.0
349,972,720,1366.0,1048.0,73590.0,73590.0,0.0
350,Data Processing Services,Not assigned,144.0,838.0,151623.0,151623.0,0.0
351,International Stadium Yokohama,Stade Municipal,4.0,8.0,4572.0,4572.0,0.0
352,VCT,CIV,8.0,1.0,59228.0,59228.0,0.0
353,Local_04,Local_09,56.0,2.0,439.0,439.0,0.0
354,NETKO,IRL,382.0,776.0,610676.0,610676.0,0.0
355,Singles,Movies & Film,3.0,6.0,602.0,602.0,0.0
356,24-Hour Membership (Austin B-cycle),ACL Weekend Pass Special (Austin B-cycle),1.0,329.0,649231.0,649231.0,0.0
357,LAFY,POWL,49315.0,104627.0,3313625.0,3313625.0,0.0
358,Apache/2.2.15 (CentOS),Apache/2.4.10,25.0,1.0,1781.0,1781.0,0.0
359,Angola,"Venezuela, Republica Bolivariana de",425.0,174.0,151623.0,151623.0,0.0
