,index,w1,w2,count1,count2,total1,total2,isDuplicate
103,,Fraud,Disorderly Conduct,1663.0,4046.0,61779.0,61779.0,0.0
104,,New York,San Diego,48.0,16.0,2720.0,2720.0,0.0
105,,q20CandYearExp,q25LangR,1.0,3.0,452.0,452.0,0.0
106,,Tennessee Ridge,Kihei,3.0,1.0,24591.0,24591.0,0.0
107,,COLLINS VIEW,SOUTH TABOR,237.0,750.0,80256.0,80256.0,0.0
108,,Pinotage-Merlot,Sauvignon Blanc-Semillon,1.0,63.0,150930.0,150930.0,0.0
109,,04L,10F,27777.0,55785.0,399918.0,399918.0,0.0
110,,IRELAND,ECUADOR,48.0,109.0,374362.0,374362.0,0.0
111,3538.0,Lowchen,LOWCHEN,2.0,1.0,82545.0,82545.0,1.0
112,,MDG,YEM,1.0,1.0,269.0,269.0,0.0
113,3836.0,PAN,pan,2783.0,14.0,463231.0,463231.0,1.0
114,,21/10/2011,03/05/2013,45.0,45.0,8190.0,8190.0,0.0
115,,Data for this year refers to provisional data.,"Includes Real estate activities, Education, Human health and social work activities",2.0,1.0,68023.0,68023.0,0.0
116,,WDUB,UCTY,52651.0,63649.0,3313625.0,3313625.0,0.0
117,,201,972,1.0,1663.0,80256.0,80256.0,0.0
118,,normal,psychic,4.0,29.0,801.0,801.0,0.0
119,,Rhode Island,Missouri,32.0,80.0,2720.0,2720.0,0.0
120,,Colorado,Kentucky,24.0,24.0,1224.0,1224.0,0.0
121,,RICH,POWL,208998.0,317369.0,9971582.0,9971582.0,0.0
122,4462.0,IOWA,IA,830.0,661.0,374362.0,374362.0,1.0
123,,subfamily,subgenus,3720.0,542.0,513373.0,513373.0,0.0
124,,VA,AK,7386.0,7354.0,403984.0,403984.0,0.0
125,,KAB,BRUSH,1467.0,30551.0,564403.0,564403.0,0.0
126,,United Republic of Tanzania: Zanzibar,Liechtenstein,26.0,46.0,9237.0,9237.0,0.0
127,,Zimbabwe,Tajikistan,368.0,208.0,72485.0,72485.0,0.0
128,,"33,48",14,1.0,346.0,225363.0,225363.0,0.0
129,,GT,UA,7310.0,963.0,671205.0,671205.0,0.0
130,,Nerello Cappuccio,Elbling,6.0,4.0,129971.0,129971.0,0.0
131,,Other Employee Contributions,Securities Lending Apprec.,1.0,1.0,280.0,280.0,0.0
132,,KIR,MIC,1.0,1.0,269.0,269.0,0.0
133,,MADISON SOUTH,CENTENNIAL,786.0,2289.0,63279.0,63279.0,0.0
134,,Afrilabs,SavannahFund,1453.0,12.0,24933.0,24933.0,0.0
135,,STREET CLEANING-RESIDENTIAL,BULK,38001.0,31111.0,564403.0,564403.0,0.0
136,,exports_of_services,exports_of_goods_and_services,8018.0,14950.0,191325.0,191325.0,0.0
137,,radio & tv stations,paint store,36.0,6.0,198900.0,198900.0,0.0
138,,ORIN,PITT,138891.0,225405.0,9971582.0,9971582.0,0.0
139,,Low,Out of Service,636380.0,803.0,2799914.0,2799914.0,0.0
140,,Trans Fat / Compliance Inspection,Trans Fat / Second Compliance Inspection,378.0,68.0,399918.0,399918.0,0.0
141,,Palau,Australia,368.0,368.0,73646.0,73646.0,0.0
142,,financial_intermediation_real_estate_renting_and_business_activities,private_households_with_employed_persons,10538.0,4864.0,223379.0,223379.0,0.0
143,,SD,TKO,11323.0,89709.0,387427.0,387427.0,0.0
144,,Start-a-Food-Business-Meetup,buildTechNY,1.0,1.0,5807.0,5807.0,0.0
145,,Z07,Y14,33.0,33.0,2150.0,2150.0,0.0
146,,GRESHAM - HOLLYBROOK,CRSTN-KENILWTH,1.0,1053.0,82958.0,82958.0,0.0
147,,Sweden,Faroe Islands,3368.0,16.0,515738.0,515738.0,0.0
148,,W20,961,13.0,1464.0,80256.0,80256.0,0.0
149,,"5,14","7,22",9.0,38.0,223379.0,223379.0,0.0
150,,Morocco,Guinea,1355.0,894.0,165808.0,165808.0,0.0
151,,DZ,6O,118.0,212.0,151623.0,151623.0,0.0
152,,Other,Artisan,338.0,55.0,15736.0,15736.0,0.0
153,,retail sales,temple,5079.0,2.0,198900.0,198900.0,0.0
154,,860,882,442.0,535.0,61779.0,61779.0,0.0
155,,Zambia,Central African Republic,1289.0,3973.0,165808.0,165808.0,0.0
156,,620,810,583.0,1332.0,59853.0,59853.0,0.0
157,,Papua New Guinea,Peru,98.0,50.0,100048.0,100048.0,0.0
158,,AP,PW,64.0,1.0,3324.0,3324.0,0.0
159,,KI,PL,208.0,319.0,151623.0,151623.0,0.0
160,,Republic of Korea,"China, Hong Kong Special Administrative Region",4517.0,4818.0,320551.0,320551.0,0.0
161,,R2Z2,X02,33.0,33.0,2117.0,2117.0,0.0
162,,NH,TX,7383.0,7386.0,403984.0,403984.0,0.0
163,,q14GoodReflecAbilities,q26FrameLearnExpressJS,5.0,2.0,452.0,452.0,0.0
164,,HP4,660,1.0,801.0,61497.0,61497.0,0.0
165,171.0,forint,Forint,496.0,765.0,100048.0,100048.0,1.0
166,,FRMT,WOAK,78514.0,69032.0,3313625.0,3313625.0,0.0
167,,Wyoming,Puerto Rico,7386.0,5635.0,403984.0,403984.0,0.0
168,,Western Europe,Eastern Asia,21.0,6.0,158.0,158.0,0.0
169,,KERNS,GRESHAM - POWELL VALLEY,730.0,6.0,64618.0,64618.0,0.0
170,,NORTHWEST,WSLOT,2047.0,2.0,61497.0,61497.0,0.0
171,,Group B,Third place,60.0,2.0,4572.0,4572.0,0.0
172,,HP4,204,3.0,3.0,73590.0,73590.0,0.0
173,,BE,GB,274.0,6900.0,63465.0,63465.0,0.0
174,,Stockholm,Paris,2705.0,14874.0,125527.0,125527.0,0.0
175,,Includes Private households with employed persons.,Value Added refers to GDP.,2.0,1.0,68023.0,68023.0,0.0
176,,Galilee,Elqui Valley,271.0,53.0,129971.0,129971.0,0.0
177,,2011,2004-06,10.0,3.0,1518.0,1518.0,0.0
178,,Republic of Moldova,Oman,230.0,170.0,48269.0,48269.0,0.0
179,3985.0,VP OPERATIONS,VP OF OPERATIONS,1.0,1.0,374362.0,374362.0,1.0
180,,Cuernavaca UberX,Bogotá UberAngel,16.0,11.0,90287.0,90287.0,0.0
181,,Steel,Poison,27.0,28.0,800.0,800.0,0.0
182,,W21,W31,5.0,6.0,70964.0,70964.0,0.0
183,,W04,R1Z3,33.0,33.0,2117.0,2117.0,0.0
184,3824.0,SLE,sle,1436.0,14.0,463231.0,463231.0,1.0
185,,GRESHAM - NORTH GRESHAM,BEAVERTON - WEST SLOPE,10.0,2.0,64618.0,64618.0,0.0
186,,742,731,4.0,1.0,10001.0,10001.0,0.0
187,,TOB11_2,CAN8_1,4350.0,156.0,403984.0,403984.0,0.0
188,,EG,E,26328.0,16352.0,324403.0,324403.0,0.0
189,3963.0,UNION TRANS./PROF. SERVICES,Union Trans./Prof. Services,1.0,1.0,374362.0,374362.0,1.0
190,,Marina Bay,Le Mans,1.0,1.0,73.0,73.0,0.0
191,,Avoriaz Fantastic Film Festival,Chicago Film Critics Association Awards,1.0,4.0,331.0,331.0,0.0
192,,Republic Rider (Annual),Local365 Youth (age 13-17 riders),73.0,3.0,649231.0,649231.0,0.0
193,,Uganda,Togo,1.0,1.0,155.0,155.0,0.0
194,,CA-MB,CA-SB CA-SBE MOSB,5.0,12.0,346018.0,346018.0,0.0
195,,Montana,Nebraska,24.0,24.0,1224.0,1224.0,0.0
196,,Sex Offenses,Aggravated Assault,479.0,1699.0,61497.0,61497.0,0.0
197,,Zaire,Portugal,1.0,10.0,4572.0,4572.0,0.0
198,,GRESHAM - SOUTHWEST GRESH,FAR SOUTHWEST,1.0,105.0,63279.0,63279.0,0.0
199,,SYC,FCS,1.0,1.0,269.0,269.0,0.0
200,,Education and Training Services,Distribution and Conditioning Systems and Equipment and Components,10643.0,5164.0,346018.0,346018.0,0.0
201,,transport,health,4615.0,5730.0,100048.0,100048.0,0.0
202,4535.0,VT,VERMONT,178.0,298.0,374362.0,374362.0,1.0
203,,SC,IN,25613.0,37436.0,619129.0,619129.0,0.0
204,,MW,SO,78.0,78.0,11106.0,11106.0,0.0
205,,Georgia/Ossetia,Ireland/United Kingdom/(Northern Ireland),1.0,21.0,1518.0,1518.0,0.0
206,,Oman,Aruba,46.0,46.0,9237.0,9237.0,0.0
207,,JOR,POL,1.0,1.0,269.0,269.0,0.0
208,,N,A,255.0,147122.0,374362.0,374362.0,0.0
209,,Fishing and aquaculture,Plus: Statistical discrepancy,853.0,2.0,61626.0,61626.0,0.0
210,,Trading Companies & Distributors,Alternative Carriers,1.0,1.0,505.0,505.0,0.0
211,,PER,ETH,78.0,3.0,59228.0,59228.0,0.0
212,,Maine,Wyoming,1.0,1.0,52.0,52.0,0.0
213,,16,British Virgin Islands,1.0,135.0,61626.0,61626.0,0.0
214,,Governance Services,Other Operational Services,212.0,975.0,151623.0,151623.0,0.0
215,,LK,ET,751.0,1250.0,151623.0,151623.0,0.0
216,,Young-Professionals-of-Chicago,Axis-BNI,4.0,49.0,5807.0,5807.0,0.0
217,,B-SYSTEMATIC,I-FAMILY,6816.0,1579.0,662207.0,662207.0,0.0
218,,Quarter-finals,Match for third place,66.0,15.0,4572.0,4572.0,0.0
219,,Corse,Crémant de Bordeaux,48.0,6.0,129971.0,129971.0,0.0
220,,Russian Federation,Djibouti,1.0,1.0,269.0,269.0,0.0
221,,Vin de Pays des Coteaux de Murviel,Mendocino-Amador,1.0,5.0,150930.0,150930.0,0.0
222,,MIC,KIR,1.0,1.0,269.0,269.0,0.0
223,,Greece,Iceland,200.0,197.0,8406.0,8406.0,0.0
224,3871.0,ATTORNEY AT LAW,Attorney at Law,4256.0,26670.0,374362.0,374362.0,1.0
225,,LCA,SOM,1.0,1.0,269.0,269.0,0.0
226,,LAURELHURST,GRESHAM - NORTHEAST GRESH,221.0,1.0,64618.0,64618.0,0.0
227,,D304,P,52.0,30.0,11106.0,11106.0,0.0
228,,U03,U02,14.0,10.0,1420.0,1420.0,0.0
229,,Prince George County,Montrose County,1.0,1.0,910.0,910.0,0.0
230,,X05,Z14a,33.0,1.0,2117.0,2117.0,0.0
231,3086.0,ALASKA,AK,64.0,58.0,374362.0,374362.0,1.0
232,,ground,ghost,34.0,14.0,801.0,801.0,0.0
233,,India,Netherlands,1.0,1.0,73.0,73.0,0.0
234,,Curfew,Burglary,211.0,4902.0,70964.0,70964.0,0.0
235,,Private households with employed persons,"Professional, scientific and technical activities",780.0,977.0,68023.0,68023.0,0.0
236,,Fishing and aquaculture,"Agriculture, forestry and fishing",784.0,3082.0,68023.0,68023.0,0.0
237,,Water,Fairy,14.0,23.0,800.0,800.0,0.0
238,,Repositioning,Layer 1 Down,259.0,167.0,1521.0,1521.0,0.0
239,,7-Day Membership (Austin B-cycle),PROHIBITED,2760.0,8.0,649231.0,649231.0,0.0
240,,a10500000075ine,a1050000000wf0q,1.0,103.0,4861.0,4861.0,0.0
241,,Portugal,Korea Republic,1.0,1.0,20.0,20.0,0.0
242,4372.0,N,n,2684.0,433.0,158026.0,158026.0,1.0
243,,ig,lb,2.0,6.0,85881.0,85881.0,0.0
244,,Aggravated Assault,Burglary,1966.0,4202.0,64618.0,64618.0,0.0
245,,SavannahFund,Afrilabs,12.0,1453.0,24933.0,24933.0,0.0
246,,npishs_final_consumption_expenditure,less_imports_of_goods_and_services,8206.0,14747.0,191325.0,191325.0,0.0
247,4503.0,NH,NEW HAMPSHIRE,267.0,386.0,374362.0,374362.0,1.0
248,2772.0,US Ambassador Residence,US Ambasador Residence,4.0,1.0,21607.0,21607.0,1.0
249,,265,237,10.0,12.0,10001.0,10001.0,0.0
250,,Trans Fat / Second Compliance Inspection,Trans Fat / Compliance Inspection,68.0,378.0,399918.0,399918.0,0.0
251,,E_102,E_MONSUP,52.0,1.0,11106.0,11106.0,0.0
252,,CT,SD,8.0,1.0,558.0,558.0,0.0
253,,Peru,Thailand,46.0,46.0,9237.0,9237.0,0.0
254,,Croatia,Vatican City,1340.0,1.0,515738.0,515738.0,0.0
255,,D114,RVWDLS,52.0,1.0,11106.0,11106.0,0.0
256,,Yemen,Fiji,492.0,242.0,100048.0,100048.0,0.0
257,,approved,revoked,733.0,50.0,198900.0,198900.0,0.0
258,,meat/produce marts,church,2.0,434.0,198900.0,198900.0,0.0
259,499.0,forint,Forint,372.0,2466.0,227092.0,227092.0,1.0
260,,"Works, Building",Education Services,4367.0,1978.0,151623.0,151623.0,0.0
261,,NORTHWEST IND,FOSTER-POWELL,86.0,840.0,61281.0,61281.0,0.0
262,4059.0,immigration lawyer,Immigration Lawyer,7.0,103.0,374362.0,374362.0,1.0
263,,550,931,1300.0,940.0,73590.0,73590.0,0.0
264,,POLAND,AUSTRIA,107.0,19.0,374362.0,374362.0,0.0
265,,Indiana,Nevada,32.0,32.0,2720.0,2720.0,0.0
266,,Napa,Willamette Valley,8801.0,3181.0,150930.0,150930.0,0.0
267,,Worked with pay in own family-operated farm or business,Worked for private establishment,14.0,13731.0,41544.0,41544.0,0.0
268,,Argentina,Montenegro,46.0,26.0,9234.0,9234.0,0.0
269,,630,961,533.0,1090.0,61779.0,61779.0,0.0
270,,MILL PARK,HOLLYWOOD,841.0,446.0,61779.0,61779.0,0.0
271,3877.0,SENIOR ASSOCIATE,Senior Associate,53.0,541.0,374362.0,374362.0,1.0
272,,Lebanon,Not classified,1.0,1.0,269.0,269.0,0.0
273,,PB2,962,1.0,1154.0,61497.0,61497.0,0.0
274,,FR,PE,13442.0,1861.0,2483304.0,2483304.0,0.0
275,3070.0,MAINE,ME,247.0,148.0,374362.0,374362.0,1.0
276,,ARG,IMN,1.0,1.0,269.0,269.0,0.0
277,,MBE SB SDVOSB,CA-DVBE CA-SB,1.0,1339.0,346018.0,346018.0,0.0
278,,White,Black or African American,1403.0,106.0,466566.0,466566.0,0.0
279,,GTQ,TJS,7243.0,17553.0,671205.0,671205.0,0.0
280,110.0,VA,VIRGINIA,4508.0,2780.0,374362.0,374362.0,1.0
281,,"6,59",56,4.0,2.0,223379.0,223379.0,0.0
282,,himalayan,javanese,38.0,2.0,29421.0,29421.0,0.0
283,,West New York,New York Mills,1.0,2.0,13.0,13.0,0.0
284,,EUR,NZD,6373.0,339.0,63465.0,63465.0,0.0
285,,ET,LK,1250.0,751.0,151623.0,151623.0,0.0
286,,Epanomi,Lesbos,17.0,1.0,129971.0,129971.0,0.0
287,,Arizona,Arkansas,1246.0,310.0,48722.0,48722.0,0.0
288,,D110,E_PDISC,52.0,12.0,11106.0,11106.0,0.0
289,,I-ABBREVIATION,B-FAMILY,59.0,3622.0,571153.0,571153.0,0.0
290,,Gross capital formation,Household consumption expenditure (including Non-profit institutions serving households),9188.0,9188.0,81106.0,81106.0,0.0
291,2820.0,SH.STA.BFED.ZS,sh.STA.BFED.ZS,432.0,1.0,463231.0,463231.0,1.0
292,,ETH,PER,3.0,78.0,59228.0,59228.0,0.0
293,,SEASON,PCTFGS,5.0,1.0,11106.0,11106.0,0.0
294,,Mozambique,Congo,379.0,408.0,81106.0,81106.0,0.0
295,,Human health and social work activities,"Manufacturing, mining and quarrying and other industrial activities",1156.0,2642.0,61626.0,61626.0,0.0
296,,Israel,Estonia,1652.0,1311.0,191325.0,191325.0,0.0
297,,MT,ID,2615.0,3984.0,943111.0,943111.0,0.0
298,,Vermont,Alabama,32.0,48.0,2720.0,2720.0,0.0
299,,Moreland City Council,Bayside City Council,2122.0,1764.0,34857.0,34857.0,0.0
300,,Chicago Park,Chicago,1.0,1.0,13.0,13.0,0.0
301,,Indonesian,Brazilian,1.0,31.0,842.0,842.0,0.0
302,,Sub-Saharan Africa,Europe and Central Asia,432.0,23.0,2772.0,2772.0,0.0
303,,Indore,Pune,5.0,32.0,636.0,636.0,0.0
304,,091,033,281.0,2037.0,198900.0,198900.0,0.0
305,,GUADELOUPE,MOLDOVA,96.0,3020.0,884244.0,884244.0,0.0
306,,YONA,NEW ZEALAND,1.0,5.0,1973.0,1973.0,0.0
307,,Somalia,Mauritania,1.0,12.0,2772.0,2772.0,0.0
308,2727.0,Convention Hall Ballroom,Convention Hall,1.0,9.0,21607.0,21607.0,1.0
309,,Breedekloof,Colares,3.0,2.0,129971.0,129971.0,0.0
310,,"Income survey (IS), 2014","Integrated household survey (IHS), 1995",1.0,1.0,263.0,263.0,0.0
311,,health_and_social_work,transport_storage_and_communications,4693.0,10676.0,223379.0,223379.0,0.0
312,417.0,"San Francisco Ca, CA 94107","San Francisco, CA",1.0,3.0,22000.0,22000.0,1.0
313,,Utah,Alaska,469.0,62.0,48722.0,48722.0,0.0
314,,NWS,KO,19369.0,70940.0,387427.0,387427.0,0.0
315,,Proxy Pandeiro UOL,Apache/2,1.0,15.0,1781.0,1781.0,0.0
316,,ca,NY,16.0,3169169.0,5893886.0,5893886.0,0.0
317,,Polish,Argentine,1.0,24.0,842.0,842.0,0.0
318,,White,Black or African American,20.0,1.0,466566.0,466566.0,0.0
319,,Female,"Black, non-Hispanic",47075.0,49324.0,403984.0,403984.0,0.0
320,,equals_saving_gross,plus_sum_of_compensation_of_employees_and_property_income_from_the_rest_of_the_world,10276.0,8608.0,215337.0,215337.0,0.0
321,,Curaçao,Argentina,11.0,46.0,9234.0,9234.0,0.0
322,,Manufacturing (C),Information and communication (J),14294.0,14082.0,320551.0,320551.0,0.0
323,,LITTER P/U,INHOUSE - RECYCLING,71.0,3352.0,564403.0,564403.0,0.0
324,3914.0,"Assistant General Counsel, The Ohio State Univ.","Assistant General Counsel, The Ohio State Universi",22.0,3.0,374362.0,374362.0,1.0
325,,Closed Captioning over the Internet,Tower,265.0,208.0,943111.0,943111.0,0.0
326,,"Electricity, gas, steam and air conditioning supply (D)",Financial and insurance activities (K),11683.0,13813.0,320551.0,320551.0,0.0
327,322.0,Retail; Advertising and PR Services; Restaurant/Food Services,RetailAdvertising and PR ServicesRestaurant/Food Services,5.0,3.0,22000.0,22000.0,1.0
328,629.0,MONTANA,MT,4.0,14.0,374362.0,374362.0,1.0
329,,PITT,ORIN,225405.0,138891.0,9971582.0,9971582.0,0.0
330,,Uruguay,Angola,1519.0,1519.0,401016.0,401016.0,0.0
331,489.0,CFA Franc,CFA franc,1202.0,2984.0,227092.0,227092.0,1.0
332,,Papua New Guinea,Burundi,46.0,46.0,9237.0,9237.0,0.0
333,,BUCKMAN-EAST,MADISON SOUTH,700.0,652.0,61779.0,61779.0,0.0
334,4327.0,Lyric Theater,Lyric Theatre,6.0,935.0,806179.0,806179.0,1.0
335,,vi,gl,80.0,4.0,85881.0,85881.0,0.0
336,,Information Technology,Materials,68.0,25.0,505.0,505.0,0.0
337,,PA,810,22.0,1552.0,63279.0,63279.0,0.0
338,3130.0,M,m,7766.0,1516.0,158026.0,158026.0,1.0
339,,KENTON,SUNNYSIDE,667.0,635.0,61497.0,61497.0,0.0
340,,HI,ID,4.0,5.0,558.0,558.0,0.0
341,,Clothing Accessories Stores,Children's and Infants' Clothing Stores,2.0,3.0,374362.0,374362.0,0.0
342,,Level Percent,"Level $ and Level %, open",116.0,3.0,2720.0,2720.0,0.0
343,,O02,M05,8.0,10.0,1420.0,1420.0,0.0
344,,Layer 3 Up,Layer 1 Down,194.0,148.0,1055.0,1055.0,0.0
