Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Suwon World Cup Stadium,4,4572,0.0008748906386701,-1
Hillsborough,4,4572,0.0008748906386701,-1
Charmilles,4,4572,0.0008748906386701,-1
Renato Dall Ara,4,4572,0.0008748906386701,-1
Estadio Universitario,4,4572,0.0008748906386701,-1
Daegu World Cup Stadium,4,4572,0.0008748906386701,-1
Arena da Baixada,4,4572,0.0008748906386701,-1
Niedersachsenstadion,4,4572,0.0008748906386701,-1
Arena Pantanal,4,4572,0.0008748906386701,-1
Tecnologico,4,4572,0.0008748906386701,-1
Estadio Ol�mpico Universitario,4,4572,0.0008748906386701,-1
Malmo Stadion,4,4572,0.0008748906386701,-1
Peter Mokaba Stadium,4,4572,0.0008748906386701,-1
Santiago Bernabeu,4,4572,0.0008748906386701,-1
Pontiac Silverdome,4,4572,0.0008748906386701,-1
Jose Amalfitani,3,4572,0.0006561679790026,-1
Daejeon World Cup Stadium,3,4572,0.0006561679790026,-1
Idrottsparken,3,4572,0.0006561679790026,-1
Bombonera - Estadio Nemesio Diez,3,4572,0.0006561679790026,-1
Jeju World Cup Stadium,3,4572,0.0006561679790026,-1
Nazionale PNF,3,4572,0.0006561679790026,-1
Jeonju World Cup Stadium,3,4572,0.0006561679790026,-1
Miyagi Stadium,3,4572,0.0006561679790026,-1
Sarria,3,4572,0.0006561679790026,-1
Giovanni Berta,3,4572,0.0006561679790026,-1
Riazor,3,4572,0.0006561679790026,-1
La Romareda,3,4572,0.0006561679790026,-1
Neza,3,4572,0.0006561679790026,-1
Incheon Football Stadium,3,4572,0.0006561679790026,-1
Jose Zorrilla,3,4572,0.0006561679790026,-1
Kobe Wing Stadium,3,4572,0.0006561679790026,-1
Independencia,3,4572,0.0006561679790026,-1
Luis Casanova,3,4572,0.0006561679790026,-1
Shizuoka Stadium Ecopa,3,4572,0.0006561679790026,-1
Sant Elia,3,4572,0.0006561679790026,-1
Nuevo Estadio,3,4572,0.0006561679790026,-1
Oita Stadium Big Eye,3,4572,0.0006561679790026,-1
Tres de Marzo,3,4572,0.0006561679790026,-1
Jose Rico Perez,3,4572,0.0006561679790026,-1
Seoul World Cup Stadium,3,4572,0.0006561679790026,-1
Osaka Nagai Stadium,3,4572,0.0006561679790026,-1
San Siro,3,4572,0.0006561679790026,-1
Ayresome Park,3,4572,0.0006561679790026,-1
Kashima Stadium,3,4572,0.0006561679790026,-1
Vicente Calderon,3,4572,0.0006561679790026,-1
Niigata Stadium Big Swan,3,4572,0.0006561679790026,-1
Estadio Irapuato,3,4572,0.0006561679790026,-1
Munsu Football Stadium,3,4572,0.0006561679790026,-1
Stade Olympique,3,4572,0.0006561679790026,-1
Old Trafford Stadium,3,4572,0.0006561679790026,-1
La Rosaleda,3,4572,0.0006561679790026,-1
San Mames,3,4572,0.0006561679790026,-1
Villa Park,3,4572,0.0006561679790026,-1
Carlos Tartiere,3,4572,0.0006561679790026,-1
Gwangju World Cup Stadium,3,4572,0.0006561679790026,-1
El Molinon,3,4572,0.0006561679790026,-1
Volksparkstadion,3,4572,0.0006561679790026,-1
Della Favorita,3,4572,0.0006561679790026,-1
Busan Asiad Main Stadium,3,4572,0.0006561679790026,-1
Sapporo Dome,3,4572,0.0006561679790026,-1
Estadio Municipal de Bala�dos,3,4572,0.0006561679790026,-1
Littorale,2,4572,0.000437445319335,-1
Arosvallen,2,4572,0.000437445319335,-1
Ryavallen,2,4572,0.000437445319335,-1
Orjans Vall,2,4572,0.000437445319335,-1
Eucaliptos,2,4572,0.000437445319335,-1
Jarnvallen,2,4572,0.000437445319335,-1
Benito Villamarin,2,4572,0.000437445319335,-1
Olympia Stadium,2,4572,0.000437445319335,-1
Ramon Sanchez Pizjuan,2,4572,0.000437445319335,-1
Pocitos,2,4572,0.000437445319335,-1
Giorgio Ascarelli,2,4572,0.000437445319335,-1
Stadio Benito Mussolini,2,4572,0.000437445319335,-1
Dacia Arena,2,4572,0.000437445319335,-1
Durival de Brito,2,4572,0.000437445319335,-1
Littorio,1,4572,0.0002187226596675,-1
White City,1,4572,0.0002187226596675,-1
Cavee Verte,1,4572,0.0002187226596675,-1
Victor Boucquey,1,4572,0.0002187226596675,-1
Tunavallen,1,4572,0.0002187226596675,-1
Eyravallen,1,4572,0.0002187226596675,-1
Comunale di Cornaredo,1,4572,0.0002187226596675,-1
Velodrome Municipale,1,4572,0.0002187226596675,-1
Stade de la Meinau,1,4572,0.0002187226596675,-1
Fort Carree,1,4572,0.0002187226596675,-1
Friuli,1,4572,0.0002187226596675,-1
Rimnersvallen,1,4572,0.0002187226596675,-1
Ilha do Retiro,1,4572,0.0002187226596675,-1
