Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Metal & Glass Containers,1,505,0.0019801980198019,-1
Computer & Electronics Retail,1,505,0.0019801980198019,-1
Health Care Services,1,505,0.0019801980198019,-1
Brewers,1,505,0.0019801980198019,-1
"Technology Hardware, Storage & Peripherals",1,505,0.0019801980198019,-1
Electronic Equipment & Instruments,1,505,0.0019801980198019,-1
Financial Exchanges & Data,1,505,0.0019801980198019,-1
Diversified Support Services,1,505,0.0019801980198019,-1
Housewares & Specialties,1,505,0.0019801980198019,-1
Motorcycle Manufacturers,1,505,0.0019801980198019,-1
Real Estate Services,1,505,0.0019801980198019,-1
Copper,1,505,0.0019801980198019,-1
Alternative Carriers,1,505,0.0019801980198019,-1
Trading Companies & Distributors,1,505,0.0019801980198019,-1
Water Utilities,1,505,0.0019801980198019,-1
Thrifts & Mortgage Finance,1,505,0.0019801980198019,-1
Gold,1,505,0.0019801980198019,-1
